number_volume,number_issue,number_article,type,link
2,2,5,book review,https://www.tandfonline.com/doi/abs/10.1080/146166900412073
2,3,1,Article,https://www.tandfonline.com/doi/abs/10.1080/146166900750036277
2,3,2,Article,https://www.tandfonline.com/doi/abs/10.1080/146166900750036286
2,3,3,Article,https://www.tandfonline.com/doi/abs/10.1080/146166900750036295
2,3,4,Article,https://www.tandfonline.com/doi/abs/10.1080/146166900750036303
2,3,5,book review,https://www.tandfonline.com/doi/abs/10.1080/146166900750036312
2,4,1,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690020014343
2,4,2,Article,https://www.tandfonline.com/doi/abs/10.1080/713767005
2,4,3,Article,https://www.tandfonline.com/doi/abs/10.1080/713767001
2,4,4,Article,https://www.tandfonline.com/doi/abs/10.1080/713766999
2,4,5,Article,https://www.tandfonline.com/doi/abs/10.1080/713767003
2,4,6,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690020025215
2,4,7,book review,https://www.tandfonline.com/doi/abs/10.1080/713767004X
2,4,8,editorial,https://www.tandfonline.com/doi/abs/10.1080/146166900450756
3,1,1,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690120046923
3,1,3,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690120046932
3,1,4,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690120046941
3,1,5,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690120046950
3,1,6,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690120046969
3,1,7,book review,https://www.tandfonline.com/doi/abs/10.1080/14616690120046978
3,2,1,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690120054302
3,2,2,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690120054311
3,2,3,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690120054320
3,2,4,Article,https://www.tandfonline.com/doi/abs/10.1080/146166901200543339
3,2,5,book review,https://www.tandfonline.com/doi/abs/10.1080/14616690120054348
3,3,1,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690120079332
3,3,2,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690120079341
3,3,3,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690120079350
3,3,4,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690120079369
3,3,5,book review,https://www.tandfonline.com/doi/abs/10.1080/14616690120079378
3,4,1,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690120112190
3,4,2,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690120112208
3,4,3,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690120112217
3,4,4,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690120112226
3,4,5,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690120112235
3,4,6,book review,https://www.tandfonline.com/doi/abs/10.1080/14616690120112244
4,1,1,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690220130973
4,1,2,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690220130982
4,1,3,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690220130991
4,1,4,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690220131008
4,1,5,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690220131017
4,1,6,book review,https://www.tandfonline.com/doi/abs/10.1080/14616690220131026
4,2,1,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690220142772
4,2,2,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690220142781
4,2,3,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690220142790
4,2,4,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690220142808
4,3,1,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669022000013586
4,3,2,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669022000013577
4,3,3,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669022000013568
4,4,1,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669022000022324
4,4,2,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669022000022333
4,4,3,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669022000022342
4,4,4,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669022000022351
4,4,5,book review,https://www.tandfonline.com/doi/abs/10.1080/1461669022000022360
5,1,1,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669032000057668
5,1,2,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669032000057668a
5,1,3,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669032000057677
5,2,1,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669032000072256
5,2,2,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669032000072265
5,2,3,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669032000072274
5,2,4,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669032000076892
5,2,5,book review,https://www.tandfonline.com/doi/abs/10.1080/1461669032000076883
5,3,1,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669032000111298
5,3,2,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669032000111306
5,3,3,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669032000111315
5,3,4,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669032000111324
5,3,5,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669032000111333
5,4,1,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669032000127633
5,4,2,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669032000127642
5,4,3,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669032000127651
5,4,4,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669032000127660
5,4,5,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669032000127679
5,4,6,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669032000127688
6,1,1,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669032000176288
6,1,2,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669032000176297
6,1,3,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669032000176305
6,1,4,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669032000176314
6,1,5,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669032000176323
6,1,6,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669032000176332
6,2,1,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690410001690664
6,2,2,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690410001690736
6,2,3,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690410001690691
6,2,4,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690410001690682
6,2,5,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690410001690709
6,2,6,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690410001690745
6,2,7,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690410001690754
6,2,8,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690410001690727
6,2,9,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690410001690673
6,2,10,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690410001690763
6,3,1,editorial,https://www.tandfonline.com/doi/full/10.1080/1461669042000231410
6,3,7,review article,https://www.tandfonline.com/doi/full/10.1080/1461669042000231627
6,4,1,editorial,https://www.tandfonline.com/doi/full/10.1080/1461669042000295645
7,1,1,editorial,https://www.tandfonline.com/doi/full/10.1080/1461669042000326992
7,1,9,review article,https://www.tandfonline.com/doi/full/10.1080/1461669052000342100
7,2,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616690500083337
7,2,8,review article,https://www.tandfonline.com/doi/full/10.1080/14616690500083659
7,3,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616690500193995
7,3,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616690500194001
7,3,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616690500194035
7,3,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616690500194050
7,3,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616690500194084
7,3,6,book review,https://www.tandfonline.com/doi/full/10.1080/14616690500194134
7,4,1,Article,https://www.tandfonline.com/doi/full/10.1080/14616690500356147
7,4,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616690500194092
7,4,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616690500342568
7,4,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616690500194118
7,4,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616690500351270
8,1,1,Article,https://www.tandfonline.com/doi/full/10.1080/14616690500492199
8,1,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616690500491464
8,1,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616690500491399
8,1,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616690500491423
8,1,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616690500491415
8,1,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616690500491324
8,1,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616690500491456
8,1,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616690500491381
8,1,9,Article,https://www.tandfonline.com/doi/full/10.1080/14616690600551555
8,2,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616690600644939
8,2,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616690600644988
8,2,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616690600645001
8,2,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616690600645043
8,2,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616690600645092
8,2,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616690600645175
8,2,7,book review,https://www.tandfonline.com/doi/full/10.1080/14616690600645324
8,3,1,editorial,https://www.tandfonline.com/doi/full/10.1080/13691450600827780
8,3,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616690600821974
8,3,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616690600822006
8,3,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616690600821990
8,3,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616690600821966
8,3,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616690600822048
8,3,7,book review,https://www.tandfonline.com/doi/full/10.1080/14616690600822147
8,4,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616690601002558
8,4,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616690500342618
8,4,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616690601002582
8,4,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616690601002616
8,4,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616690601002673
8,4,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616690601002707
9,1,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616690601079408
9,1,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616690601079416
9,1,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616690601079424
9,1,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616690601079432
9,1,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616690601079440
9,1,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616690601079457
9,2,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616690701217734
9,2,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616690601002632
9,2,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701217767
9,2,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701217809
9,2,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616690601002574
9,2,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701217858
9,2,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616690601002749
9,2,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616690601002665
9,2,9,book review,https://www.tandfonline.com/doi/full/10.1080/14616690601002756
9,3,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616690701336476
9,3,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701314234
9,3,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701314564
9,3,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701314101
9,3,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701314093
9,3,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701314283
9,3,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701314150
9,3,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701336518
9,4,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616690701650561
9,4,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701314119
9,4,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701449568
9,4,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701591740
9,4,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701318805
9,4,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701314085
9,4,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701374923
9,4,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701396603
9,4,9,book review,https://www.tandfonline.com/doi/full/10.1080/14616690701348828
9,5,1,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701412780
9,5,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701412814
9,5,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701412830
9,5,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701412897
9,5,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701412855
9,5,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701412871
9,5,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701412665
10,1,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616690701722139
10,1,2,Article,https://www.tandfonline.com/doi/full/10.1080/09571260701526964
10,1,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701523651
10,1,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701419470
10,1,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701592573
10,1,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701348810
10,1,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701536323
10,2,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616690701872421
10,2,2,editorial,https://www.tandfonline.com/doi/full/10.1080/14616690701835204
10,2,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701835253
10,2,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701835261
10,2,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701835287
10,2,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701835311
10,2,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701835337
10,2,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701722071
10,2,9,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701591765
10,3,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616690802076021
10,3,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701846946
10,3,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701771813
10,3,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701744406
10,3,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701326832
10,3,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701833258
10,3,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701833480
10,3,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701744364
10,3,9,book review,https://www.tandfonline.com/doi/full/10.1080/14616690802087713
10,3,10,book review,https://www.tandfonline.com/doi/full/10.1080/14616690802087739
10,3,11,book review,https://www.tandfonline.com/doi/full/10.1080/13668800802155670
10,3,12,book review,https://www.tandfonline.com/doi/full/10.1080/13668800802155746
10,3,13,book review,https://www.tandfonline.com/doi/full/10.1080/13668800802155753
10,4,1,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701871696
10,4,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701871738
10,4,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701871779
10,4,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701871795
10,4,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701871886
10,4,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701871894
10,4,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701871910
10,4,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701871951
10,5,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616690802580956
10,5,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701744398
10,5,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701744380
10,5,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701757853
10,5,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701744372
10,5,6,Article,https://www.tandfonline.com/doi/full/10.1080/13668800801912543
10,5,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616690801890109
10,5,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616690801890117
10,5,9,book review,https://www.tandfonline.com/doi/full/10.1080/14616690802489943
11,1,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616690802667266
11,1,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616690802209697
11,1,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616690802209689
11,1,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616690801941084
11,1,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616690801961819
11,1,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616690802155353
11,1,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616690802248042
11,1,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616690802054358
11,2,1,Article,https://www.tandfonline.com/doi/full/10.1080/14616690902914907
11,2,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616690802155346
11,2,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616690801942116
11,2,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616690802133293
11,2,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616690802209705
11,2,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701846938
11,2,7,book review,https://www.tandfonline.com/doi/full/10.1080/13668800802155688
11,3,1,Article,https://www.tandfonline.com/doi/full/10.1080/14616690902764658
11,3,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616690902764674
11,3,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616690902764757
11,3,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616690902764724
11,3,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616690902764815
11,3,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616690902764823
11,3,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616690902764831
11,3,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616690902764799
11,4,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616690903197742
11,4,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616690802592589
11,4,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616690802531926
11,4,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616690802624168
11,4,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616690802317862
11,4,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616690802531090
11,4,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616690802592597
11,4,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616690902785695
11,5,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616690903424120
11,5,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616690902785687
11,5,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616690802326418
11,5,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616690802475504
11,5,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616690802474374
11,5,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616690802326400
11,5,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616690802588066
12,1,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616690903574189
12,1,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616690903042724
12,1,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616690902718399
12,1,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616690802592605
12,1,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616690903219181
12,1,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616690902890321
12,1,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616690802474366
12,1,8,book review,https://www.tandfonline.com/doi/full/10.1080/14616690903216989
12,2,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.486596
12,2,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616690902874705
12,2,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616690903100456
12,2,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616691003716894
12,2,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616690903388960
12,2,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616690902718381
12,2,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616690903056005
12,2,8,book review,https://www.tandfonline.com/doi/full/10.1080/14616690903432347
12,2,9,book review,https://www.tandfonline.com/doi/full/10.1080/14616690903550320
12,2,10,book review,https://www.tandfonline.com/doi/full/10.1080/14616691003588822
12,3,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.506807
12,3,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.483008
12,3,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616691003735514
12,3,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616691003596973
12,3,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616690903165434
12,3,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616691003716910
12,3,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616691003716928
12,3,8,book review,https://www.tandfonline.com/doi/full/10.1080/14616691003588871
12,3,9,book review,https://www.tandfonline.com/doi/full/10.1080/14616691003588905
12,4,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.519576
12,4,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.515824
12,4,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.483003
12,4,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.483004
12,4,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.483007
12,4,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.483005
12,4,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.497226
12,4,8,book review,https://www.tandfonline.com/doi/full/10.1080/14616691003594820
12,4,9,book review,https://www.tandfonline.com/doi/full/10.1080/14616691003665729
12,4,10,book review,https://www.tandfonline.com/doi/full/10.1080/14616691003732461
12,5,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.541209
12,5,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616691003716902
12,5,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.497224
12,5,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616691003786350
12,5,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.483006
12,5,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.483009
12,5,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.483010
12,5,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.514351
12,5,9,book review,https://www.tandfonline.com/doi/full/10.1080/14616691003665737
12,5,10,book review,https://www.tandfonline.com/doi/full/10.1080/14616691003732693
13,1,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.558183
13,1,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.533784
13,1,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.497225
13,1,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.483000
13,1,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.540352
13,1,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.540351
13,1,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.523476
13,1,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.523477
13,1,9,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.518032
13,2,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.572355
13,2,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.547942
13,2,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.514352
13,2,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.514350
13,2,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.514354
13,2,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.483002
13,2,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.540389
13,2,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.493586
13,2,9,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.547944
13,3,1,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.568248
13,3,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.568259
13,3,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.568254
13,3,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.568263
13,3,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.568265
