number_volume,number_issue,number_article,type_1,type_2,page_start,page_end,date_receive,date_accept,date_online,keyword
2,1,4,Article,Original Articles,51,64,,,02 Dec 2010,"['Prices', 'Prohibition', 'Wealth']"
2,1,5,Article,Original Articles,65,90,,,02 Dec 2010,"['Collective Action', 'Social Networks', 'Post-SOCIALISM', 'Russia', 'Comparative Research', 'Professions']"
2,1,6,book review,Book Reviews,91,108,,,02 Dec 2010,[]
2,2,1,Article,Original Articles,113,137,,,02 Dec 2010,"['Europe', 'Identity']"
2,2,2,Article,Original Articles,139,165,,,02 Dec 2010,"['European Union', 'Citizenship', 'Identity', 'Neoliberalism', 'Ethnoculturalism', 'Exclusion', 'Immigration']"
2,2,3,Article,Original Articles,167,194,,,02 Dec 2010,"['Church Attendance', 'Cross-NATIONAL Comparison', 'Religion', 'Secularization', 'Self-ASCRIBED Religiosity']"
2,2,4,Article,Original Articles,195,216,,,02 Dec 2010,"['Unemployment', 'Southern Europe', 'Active And Passive Labour Market Policies']"
2,2,5,book review,Book Reviews,217,238,,,02 Dec 2010,[]
2,3,1,Article,Original Articles,243,269,,,02 Dec 2010,"['Labour Market', 'Unemployment', 'Social Security', 'Welfare State']"
2,3,2,Article,Original Articles,271,294,,,02 Dec 2010,"['Financial Games', 'Rational Action', 'Crowd Behaviour']"
2,3,3,Article,Original Articles,295,333,,,02 Dec 2010,"['Sex Segregation', 'Welfare State', 'Labour Market']"
2,3,4,Article,Original Articles,335,360,,,02 Dec 2010,"['Slovakia', 'Minority Questions', 'Transformation', 'Populism', 'Nationalism', 'Ethnic Democracy']"
2,3,5,book review,Book Reviews,361,389,,,02 Dec 2010,[]
2,4,1,Article,Original Articles,397,430,,,02 Dec 2010,"['Social Stratification', 'Social Cleavages', 'Voting Behavior', 'Justice Attitudes', 'Eastern Europe']"
2,4,2,Article,Original Articles,431,452,,,02 Dec 2010,"['Public Attitudes', 'Values', 'Welfare', 'Political Economy', 'Europe']"
2,4,3,Article,Original Articles,453,482,,,02 Dec 2010,"['Welfare', 'Globalization', 'Neo-LIBERALISM', 'Scotland']"
2,4,4,Article,Original Articles,483,504,,,02 Dec 2010,"['Labour Market', 'Russia', 'Social Exclusion', 'Social Networks', 'Corruption']"
2,4,5,Article,Original Articles,505,531,,,02 Dec 2010,"['Poverty Dynamics', 'Echp', 'Welfare Regimes', 'Vicious Circle Processes', 'Log-LINEAR Models', 'Shift And Association Effects']"
2,4,6,Article,Original Articles,533,548,,,02 Dec 2010,[]
2,4,7,book review,Book Reviews,549,562,,,23 Nov 2017,[]
2,4,8,editorial,Editorials,563,563,,,02 Dec 2010,[]
3,1,1,Article,Original Articles,1,22,,,07 Dec 2010,"['Economic Sociology', 'Markets', 'Status', 'Aesthetics', 'Fashion And Photography']"
3,1,2,,Miscellany,5,10,,,07 Dec 2010,[]
3,1,3,Article,Original Articles,23,39,,,07 Dec 2010,"['Money', 'Euro', 'European Monetary Integration', 'European Union', 'European Central Bank', 'Economic Convergence']"
3,1,4,Article,Original Articles,41,67,,,07 Dec 2010,"['Economic Sociology', 'France', 'Durkheimianism', 'National Sociological Traditions']"
3,1,5,Article,Original Articles,69,90,,,07 Dec 2010,"['Financial Engineering', 'Financial Supervision', 'Market Risk', 'Model Risk', 'Reflexive Economic Sociology', 'Social Randomness']"
3,1,6,Article,Original Articles,91,110,,,07 Dec 2010,"['Autonomy', 'Economic Beliefs', 'Field Of Power', 'Homology', 'Multiple Correspondance Analysis', 'Scientific Field', 'Scientific Capital']"
3,1,7,book review,Book Reviews,111,130,,,07 Dec 2010,[]
3,2,1,Article,Original Articles,135,165,,,02 Dec 2010,"['Sociology Of Religion', 'Secularisation', 'Individualisation', 'Central And Eastern Europe', 'Church And Religion']"
3,2,2,Article,Original Articles,167,190,,,02 Dec 2010,"['Methodology', 'Comparative Research', 'Europe', 'Gender', 'Case Studies']"
3,2,3,Article,Original Articles,191,212,,,02 Dec 2010,"['Household Income', 'Income Inequality', 'Czech Republic', 'Redistribution', 'Market Adjustment']"
3,2,4,Article,Original Articles,213,244,,,02 Dec 2010,"['Trust', 'Trust Regimes', 'Food Consumption', 'Gm Food', 'Consumer Movements']"
3,2,5,book review,Book Reviews,245,256,,,02 Dec 2010,[]
3,3,1,Article,Original Articles,261,287,,,02 Dec 2010,"['European Integration', 'Institutional Theory', 'Political Entrepreneurs', 'Single Market Program', 'Strategic Action']"
3,3,2,Article,Original Articles,289,314,,,02 Dec 2010,"['European Union', 'Policy-MAKING', 'Institutions', 'Frames', 'Framing', 'Social Movements']"
3,3,3,Article,Original Articles,315,338,,,02 Dec 2010,"['National Identities', 'Emotion', 'Discourse', 'Trade Unions', 'Gender', 'Social Defence Mechanisms', 'Unconscious', 'Sociology', 'Psychoanalysis']"
3,3,4,Article,Original Articles,339,371,,,02 Dec 2010,"['Family', 'Employment', 'Gender', 'Spain']"
3,3,5,book review,Book Reviews,373,381,,,02 Dec 2010,[]
3,4,1,Article,Original Articles,387,411,,,02 Dec 2010,"['Migration', 'Asylum', 'Rights', 'European Union', 'Harmonization', 'Civic Stratification']"
3,4,2,Article,Original Articles,413,445,,,02 Dec 2010,"['Education', 'Social Exclusion', 'Capabilities', ""Children'S Rights""]"
3,4,3,Article,Original Articles,447,469,,,02 Dec 2010,"['Social Security', 'Gender', 'Poverty', 'Employment', 'Educational Level']"
3,4,4,Article,Original Articles,471,494,,,02 Dec 2010,"['School-TO-WORK Transitions', 'Labour Market Integration', 'Education And Training Systems', 'Labour Market Structure', 'Europe']"
3,4,5,Article,Original Articles,495,523,,,02 Dec 2010,"['Old-AGE Pensions', 'Public Opinion', 'Welfare State Regimes', 'Pension Systems']"
3,4,6,book review, Book Reviews,525,538,,,02 Dec 2010,[]
4,1,1,Article,Original Articles,1,26,,,02 Dec 2010,"['Europe', 'European Culture', 'European Identity', 'Civilization', 'Nation', 'European Citizenship', 'Concepts', 'Essentialism', 'Constructivism']"
4,1,2,Article,Original Articles,27,52,,,02 Dec 2010,"['Labour Market', 'Post-COMMUNIST Transformation', 'Competencies', 'Career Mobility', 'Social Stratification', 'Life Course']"
4,1,3,Article,Original Articles,53,78,,,02 Dec 2010,"['Education', 'Ethnic Germans', 'Immigration', 'Labour Market', 'Vocational Training']"
4,1,4,Article,Original Articles,79,105,,,02 Dec 2010,"['Labour Market', 'Job Matching', 'Overqualification', 'Income Inequality', 'Social Stratification']"
4,1,5,Article,Original Articles,107,140,,,02 Dec 2010,"['Social Mobility', 'Status Attainment', 'Social Inequality', 'Longitudinal Historical Analysis', 'Hungary']"
4,1,6,book review,Book Reviews,141,156,,,02 Dec 2010,[]
4,2,1,Article,Original Articles,161,184,,,02 Dec 2010,"['Citizenship', 'Republic', 'Social Welfare', 'Fundamental Rights', 'Social Policies', 'Decentralisation', 'Bismarckian System', 'Universalism']"
4,2,2,Article,Original Articles,185,207,,,02 Dec 2010,"['Social Contacts', 'Individual Determinants', 'Welfare States', 'Multilevel Analyses']"
4,2,3,Article,Original Articles,209,233,,,02 Dec 2010,"['Poverty', 'Individualisation', 'Disadvantage', 'Cumulative', 'Social Class', 'Life-COURSE']"
4,2,4,Article,Original Articles,235,260,,,02 Dec 2010,"['Professions', 'Advocates/Solicitors', 'Pharmacists', 'Germany', 'Britain', 'Market Deregulation']"
4,3,1,Article,Original Articles,265,284,,,02 Dec 2010,"['Europe', 'Identity', 'Public Space', 'Institutional Theory', 'Textbooks And Curricula', 'History And Civics Education']"
4,3,2,Article,Original Articles,285,306,,,02 Dec 2010,"['Ageing', 'Ethnicity', 'Migration', 'Quality Of Life', 'Social Policy']"
4,3,3,Article,Original Articles,307,329,,,02 Dec 2010,"['Working Time', 'Households', 'Preferences', 'Europe']"
4,4,1,Article,Original Articles,331,357,,,02 Dec 2010,"['Gender', 'Welfare Regime', 'Welfare Restructuring', 'Work Welfare', 'Relationship', 'Individualization', 'Adult Worker Model Family']"
4,4,2,Article,Original Articles,359,380,,,02 Dec 2010,"['Social Assistance', 'Workfare', 'Welfare', 'Speenhamland Effect', 'European Employment Policies']"
4,4,3,Article,Original Articles,381,392,,,02 Dec 2010,"['Women', 'Pensions', 'United Kingdom', 'Privatization', 'Perception', 'Provision']"
4,4,4,Article,Original Articles,393,418,,,02 Dec 2010,"['Labour Force And Employment', 'Size And Structure', 'Retirement', 'Retirement Policies', 'Unemployment Insurance']"
4,4,5,book review,Book Reviews,419,424,,,02 Dec 2010,[]
5,1,1,Article,Original Articles,1,32,,,09 Dec 2010,[]
5,1,2,Article,Original Articles,33,68,,,09 Dec 2010,[]
5,1,3,Article,Original Articles,69,90,,,04 Feb 2011,"['Nordic countries', 'welfare state', 're-commodification', 'cost containment', 'recalibration', 'rationalization']"
5,2,1,Article,Original Articles,93,137,,,02 Dec 2010,"['Social Trust', 'Social Capital', 'Cleavages', 'Personality', 'Cross-national Comparison', 'Euromodule Survey']"
5,2,2,Article,Original Articles,139,165,,,02 Dec 2010,"['Icvs', 'Cross-country Analysis', 'Corruption', 'Victimization', 'Economic Development', 'British Legal Culture', 'Federalism']"
5,2,3,Article,Original Articles,167,191,,,02 Dec 2010,"['Poverty', 'Poverty Dynamics', 'Echp', 'Welfare Regimes']"
5,2,4,Article,Original Articles,193,225,,,02 Dec 2010,"['Educational Systems', 'Intra-generational Mobility', 'Social Inequality']"
5,2,5,book review,Book Reviews,227,231,,,02 Dec 2010,[]
5,3,1,Article,Original Articles,235,252,,,22 Jul 2010,"['European identity', 'European Commission', 'identity construction', 'temporality', 'Founding Fathers', 'enlargement']"
5,3,2,Article,Original Articles,253,282,,,22 Jul 2010,"['European security', 'European defence policy', 'public opinion', 'political identity', 'armed forces', 'officer corps']"
5,3,3,Article,Original Articles,283,302,,,22 Jul 2010,"['churches', 'East Germany', 'political change', 'process of institutionalization', 'rhetoric']"
5,3,4,Article,Original Articles,303,325,,,22 Jul 2010,"['reasons for divorce', 'causes of divorce', 'Muslims', 'Arabs', 'citizens of Israel', 'society in transition']"
5,3,5,Article,Original Articles,327,345,,,04 Jun 2010,[]
5,4,1,Article,Original Articles,349,351,,,04 Jun 2010,[]
5,4,2,Article,Original Articles,353,375,,,04 Jun 2010,"['family policy', 'child care', 'elderly care', 'gender', 'welfare state typology']"
5,4,3,Article,Original Articles,377,396,,,04 Jun 2010,"['care', 'care work', 'migrant workers', 'direct payments', 'cash for care']"
5,4,4,Article,Original Articles,397,417,,,04 Jun 2010,"['care', 'care payments', 'solidarity', 'informal care', 'care insurance', 'social policy']"
5,4,5,Article,Original Articles,419,443,,,04 Jun 2010,"['family policy', 'policy complexity', 'cash-for-care', 'mothers’ employment', 'Norway']"
5,4,6,Article,Original Articles,445,463,,,04 Jun 2010,"['care wage', 'disabled children', 'welfare state', 'family policy', 'Norway']"
6,1,1,Article,Original Articles,1,3,,,04 Jun 2010,[]
6,1,2,Article,Original Articles,5,27,,,04 Jun 2010,"['subjective well-being', 'life satisfaction', 'welfare measurement', 'Europe']"
6,1,3,Article,Original Articles,29,48,,,04 Jun 2010,"['welfare state', 'values', 'liberalism', 'social attitudes', 'inequality', 'Europe']"
6,1,4,Article,Original Articles,49,70,,,04 Jun 2010,"['job stability', 'labour turnover', 'unemployment', 'service economy', 'event history data', 'Germany']"
6,1,5,Article,Original Articles,71,96,,,04 Jun 2010,"['Western European integration', 'European Union', 'economic convergence', 'cohesion policies', 'comparative analysis']"
6,1,6,Article,Original Articles,97,117,,,04 Jun 2010,"['public and private spheres', 'post-Soviet societies', 'Russia', 'political culture', 'Soviet public', 'qualitative methods in sociology']"
6,2,1,Article,Original Articles,119,121,,,04 Jun 2010,[]
6,2,2,Article,Original Articles,123,147,,,04 Jun 2010,"['Central Europe', 'Eastern Europe', 'history of sociology', 'deCommunization', 'institutionalization', 'theory and methods', 'teaching']"
6,2,3,Article,Original Articles,149,157,,,04 Jun 2010,[]
6,2,4,Article,Original Articles,159,166,,,04 Jun 2010,[]
6,2,5,Article,Original Articles,167,168,,,04 Jun 2010,[]
6,2,6,Article,Original Articles,169,180,,,04 Jun 2010,[]
6,2,7,Article,Original Articles,181,203,,,04 Jun 2010,"['time distance', None, 'disparities', 'development gap', 'cohesion countries', 'candidate countries']"
6,2,8,Article,Original Articles,205,236,,,04 Jun 2010,"['Catholic schools', 'Protestant schools', 'religious schools', 'parental choice', 'school-effectiveness', 'scholastic achievement']"
6,2,9,Article,Original Articles,237,254,,,04 Jun 2010,"['civil society', 'European integration', 'democracy', 'policy-making']"
6,2,10,Article,Original Articles,255,260,,,04 Jun 2010,[]
6,3,1,editorial,Editorials,263,264,,,05 Oct 2009,[]
6,3,2,,Miscellany,265,297,,,05 Oct 2009,"['early retirement', 'unemployment pathway', 'unemployment pension', 'aged workers']"
6,3,3,,Miscellany,299,318,,,05 Oct 2009,"['gender', 'economic independence', 'care work', 'welfare state policy, individualization', 'reflexive modernization']"
6,3,4,,Miscellany,319,346,,,05 Oct 2009,"['Family formation', 'marriage, fertility', 'labour market', 'Finland', 'Spain']"
6,3,5,,Miscellany,347,382,,,05 Oct 2009,"['Labour market flexibility', 'Social inequality', 'Germany', 'UK', 'Temporary employment']"
6,3,6,,Miscellany,383,408,,,05 Oct 2009,"['Social class', 'unemployment', 'comparative research', 'labour market institutions', 'inequality']"
6,3,7,review article,Reviews,409,412,,,05 Oct 2009,[]
6,4,1,editorial,Editorials,421,421,,,18 Aug 2006,[]
6,4,2,,Miscellany,423,436,,,18 Aug 2006,[]
6,4,3,,Miscellany,437,460,,,18 Aug 2006,"['activation', 'social protection', 'restructuring welfare states', 'active labour market policies']"
6,4,4,,Miscellany,461,483,,,18 Aug 2006,"['activation', 'active society', 'citizenship', 'Denmark', 'Norway', 'welfare policy reforms', 'workfare', 'work orientation']"
6,4,5,,Miscellany,485,509,,,18 Aug 2006,"['welfare state change', 'unemployment', 'activation', 'citizenship', 'Austria', 'Germany']"
6,4,6,,Miscellany,511,534,,,18 Aug 2006,"['activation', 'unemployment', 'welfare system change', 'transition', 'post-socialist economies']"
7,1,1,editorial,Editorials,1,2,,,21 Aug 2006,[]
7,1,2,,Miscellany,3,26,,,21 Aug 2006,"['capabilities', 'rights', 're-commodification', 'European Employment Strategy', 'welfare-to-work', 'work–life balance']"
7,1,3,,Miscellany,27,52,,,21 Aug 2006,"['open method of policy coordination (OMC)', 'National Action Plans', 'governance', 'gender equality', 'gender mainstreaming', 'childcare', 'social policy', 'welfare regimes']"
7,1,4,,Miscellany,53,79,,,21 Aug 2006,"['social support', 'precariousness', 'women', 'neighbourhood', 'social networks']"
7,1,5,,Miscellany,81,102,,,21 Aug 2006,"['underground sector', 'hidden economy', 'informal sector', 'social capital', 'public policy', 'England']"
7,1,6,,Miscellany,103,129,,,21 Aug 2006,"['Food safety', 'trust', 'Russia', 'Denmark', 'Norway']"
7,1,7,,Miscellany,131,155,,,21 Aug 2006,"['revolution', 'social class', 'globalisation', 'transition', 'state socialism', 'Russia']"
7,1,8,,Miscellany,157,185,,,21 Aug 2006,"['audit culture', 'audit society', 'knowledge', 'trust', 'higher education', 'university', 'research']"
7,1,9,review article,Reviews,187,193,,,21 Aug 2006,[]
7,2,1,editorial,Editorials,195,196,,,01 Sep 2006,[]
7,2,2,,Miscellany,197,218,,,01 Sep 2006,"['market rules', 'post-communist societies', 'transition', 'educational credentials', 'meritocracy: distribution of incomes']"
7,2,3,,Miscellany,219,253,,,01 Sep 2006,"['school-to-work transitions', 'transition economies', 'school leavers', 'comparative research']"
7,2,4,,Miscellany,255,286,,,01 Sep 2006,"['class', 'attitudes', 'comparative', 'sex', 'conformism', 'civil rights', 'civil liberties', 'morality']"
7,2,5,,Miscellany,287,319,,,01 Sep 2006,"['welfare attitudes', 'class', 'transition', 'post-communism', 'Czech Republic', 'Sweden']"
7,2,6,,Miscellany,321,347,,,01 Sep 2006,"['informal care', 'comparative social policy analyses', 'family values', 'development paths', 'care arrangements', 'childcare']"
7,2,7,,Miscellany,349,368,,,01 Sep 2006,"['Europeanization', 'identity', 'socio-scapes', 'football']"
7,2,8,review article,Reviews,369,375,,,01 Sep 2006,[]
7,3,1,editorial,Editorials,377,378,,,01 Sep 2006,[]
7,3,2,Article,Original Articles,379,398,,,01 Sep 2006,"['family change', 'family policy', 'family and welfare state reform', 'demographic and social risks', 'gender and family relations', 'family in European society']"
7,3,3,Article,Original Articles,399,421,,,01 Sep 2006,"['methods', 'cross-national comparisons', 'quantitative and qualitative paradigms', 'social science', 'family and welfare', 'research and policy']"
7,3,4,Article,Original Articles,423,450,,,01 Sep 2006,"['economic exclusion', 'multidimensionality', 'vulnerability', 'multiple disadvantage', 'latent class analysis']"
7,3,5,Article,Original Articles,451,479,,,01 Sep 2006,"['gender', 'school to work transitions', 'education', 'field of study']"
7,3,6,book review,Book Reviews,481,509,,,01 Sep 2006,[]
7,4,1,Article,Original Articles,511,511,,,20 Aug 2006,[]
7,4,2,Article,Original Articles,513,546,,,20 Aug 2006,"['labour market entrants', 'school-to-work transition', 'comparative research', 'labour market entry patterns']"
7,4,3,Article,Original Articles,547,566,,,20 Aug 2006,"['leaving home', 'Spain', 'familism', 'family solidarity', 'culture']"
7,4,4,Article,Original Articles,567,594,,,20 Aug 2006,"['legitimacy', 'responsibility', 'trust', 'uncertainty', 'environmental policy', 'food safety']"
7,4,5,Article,Original Articles,595,613,,,20 Aug 2006,[]
8,1,1,Article,Original Articles,1,2,,,19 Aug 2006,[]
8,1,2,Article,Original Articles,3,26,,,19 Aug 2006,"['car dependency', 'social exclusion', 'public transport', 'urban citizenship']"
8,1,3,Article,Original Articles,27,57,,,19 Aug 2006,"['social capital', 'welfare state regimes', 'social networks', 'trust', 'informal social support', 'ISSP']"
8,1,4,Article,Original Articles,59,81,,,19 Aug 2006,"['Internet', 'digital divide', 'socio-demographic factors', 'institutional differences', 'welfare regimes']"
8,1,5,Article,Original Articles,83,110,,,19 Aug 2006,"['unemployment', 'psychological distress', 'welfare regime', 'benefits']"
8,1,6,Article,Original Articles,111,140,,,19 Aug 2006,"['migration', 'mobility', 'multilevel', 'European Union']"
8,1,7,Article,Original Articles,141,167,,,19 Aug 2006,[]
8,1,8,Article,Original Articles,169,187,,,19 Aug 2006,"['cross-cultural research', 'insider/outsidership', 'access to data', 'aspects of gender', 'power and control', 'the principle of reciprocity']"
8,1,9,Article,Original Articles,189,211,,,19 Aug 2006,[]
8,2,1,editorial,Editorials,215,222,,,22 Aug 2006,[]
8,2,2,Article,Original Articles,223,249,,,22 Aug 2006,[]
8,2,3,Article,Original Articles,251,271,,,22 Aug 2006,"['human resources policy', 'regulation', 'working time accounts', 'time sovereignty', 'conduct of life']"
8,2,4,Article,Original Articles,273,294,,,22 Aug 2006,"['work-life balance', 'welfare state', 'industrial relations', 'trade unions']"
8,2,5,Article,Original Articles,295,317,,,22 Aug 2006,"['work life balance', 'welfare states', 'reconciliation of work and family', 'childcare leave systems']"
8,2,6,Article,Original Articles,319,341,,,22 Aug 2006,"['life course', 'working time', 'work life balance']"
8,2,7,book review,Book Reviews,343,355,,,22 Aug 2006,[]
8,3,1,editorial,Editorials,357,359,,,17 Feb 2007,[]
8,3,2,Article,Original Articles,361,383,,,17 Feb 2007,"['care', 'older people', 'choice', 'OECD countries']"
8,3,3,Article,Original Articles,385,401,,,17 Feb 2007,"['care', 'professionalism', 'consumerism', 'informal care', 'market', 'family']"
8,3,4,Article,Original Articles,403,422,,,17 Feb 2007,"['home care', 'consumerism', 'contracts', 'care-giving work', 'needs testing', 'New Public Management']"
8,3,5,Article,Original Articles,423,442,,,17 Feb 2007,"['consumerism', 'choice', 'public services', 'social care']"
8,3,6,Article,Original Articles,443,463,,,17 Feb 2007,"['consumerism', 'care', 'elderly', 'choice', 'home help']"
8,3,7,book review,Book Reviews,465,488,,,17 Feb 2007,[]
8,4,1,editorial,Editorials,491,491,,,23 Nov 2006,[]
8,4,2,Article,Original Articles,493,526,,,23 Nov 2006,"['intragenerational social mobility', 'post-soviet transition', 'factors influencing mobility']"
8,4,3,Article,Original Articles,527,553,,,23 Nov 2006,"['labour market policy', 'activation', 'comparative analysis', 'welfare reform', 'European social policy', 'post industrialism']"
8,4,4,Article,Original Articles,555,576,,,23 Nov 2006,"['active labour market policies', 'employment protection legislation', 'informal recruitment', 'social capital', 'unemployment compensation for young people', 'youth unemployment']"
8,4,5,Article,Original Articles,577,599,,,23 Nov 2006,"['special education', 'inclusive education', 'learning opportunity', 'segregation', 'integration', 'educational attainment']"
8,4,6,Article,Original Articles,601,624,,,23 Nov 2006,"['institutional trust', 'active trust', 'attitudes to gene technology', 'Eurobarometer', 'European public']"
9,1,1,editorial,Editorials,1,2,,,22 Dec 2006,[]
9,1,2,Article,Original Articles,3,21,,,22 Dec 2006,"['society', 'humanity', 'Europe', '‘rest of the world’', 'global', 'political']"
9,1,3,Article,Original Articles,23,44,,,22 Dec 2006,"['migration', 'identities', 'dialogical self', 'autobiographies', 'young people', 'hybridity']"
9,1,4,Article,Original Articles,45,64,,,22 Dec 2006,"['au pair', 'role', 'interaction', 'spousal relationships', 'caregiver']"
9,1,5,Article,Original Articles,65,90,,,22 Dec 2006,"['nationalist attitudes', 'threat', 'intercultural attitudes', 'border regions', 'macrosocial stress']"
9,1,6,Article,Original Articles,91,111,,,22 Dec 2006,"['migration', 'immigration', 'Greece', 'southern Europe', 'inclusion', 'exclusion', 'work', 'employment', 'Albanians']"
9,2,1,editorial,Editorials,115,117,,,29 Mar 2007,[]
9,2,2,Article,Original Articles,119,145,,,29 Mar 2007,"['poverty', 'income', 'income comparisons', 'Europe', 'nation state', 'regions']"
9,2,3,Article,Original Articles,147,173,,,29 Mar 2007,"['income poverty', 'material deprivation', 'multidimensionality', 'consistent poverty', 'economic strain', 'economic stress']"
9,2,4,Article,Original Articles,175,199,,,29 Mar 2007,"['child poverty', 'ethnic minority groups', 'employment', 'UK policy']"
9,2,5,Article,Original Articles,201,227,,,29 Mar 2007,"['welfare culture', 'formal care', 'comparative social policy analyses', 'professionalism', 'governance', 'old age provision']"
9,2,6,Article,OPINION AND DEBATE,229,244,,,29 Mar 2007,"['Lisbon process', 'knowledge-based economies', 'benchmarking', 'accountability', 'competitiveness']"
9,2,7,Article,Original Articles,245,273,,,29 Mar 2007,"['field of power', 'Norway', 'geometric data analysis', 'multiple correspondence analysis']"
9,2,8,Article,Original Articles,275,300,,,29 Mar 2007,"['gender budgeting', 'Belgium', 'gender mainstreaming', 'gender budget analysis', 'accountability', 'public management']"
9,2,9,book review,Book Reviews,301,312,,,29 Mar 2007,[]
9,3,1,editorial,Editorials,313,314,,,27 Jun 2007,[]
9,3,2,Article,Original Articles,315,337,,,27 Jun 2007,"['childcare', 'Spain', 'welfare state', 'work/life balance', 'gender', 'policy change']"
9,3,3,Article,Original Articles,339,358,,,27 Jun 2007,"['life course policy', 'life course saving scheme', 'interdependency', 'standard biography']"
9,3,4,Article,Original Articles,359,382,,,27 Jun 2007,"['interpersonal influence', 'social capital', 'fertility', 'rational choice', 'behavioral intentions', 'Poland']"
9,3,5,Article,Original Articles,383,407,,,27 Jun 2007,"['social capital', 'hiring process', 'immigrants']"
9,3,6,Article,Original Articles,409,428,,,27 Jun 2007,"['flexibility', 'job control', 'job demands', 'psychological wellbeing', 'work/family conflict', 'work hours']"
9,3,7,Article,Original Articles,429,458,,,27 Jun 2007,"['temporary employment', 'unemployment', 'health']"
9,3,8,Article,Original Articles,459,490,,,27 Jun 2007,"['social class', 'occupations', 'health inequalities', 'poverty', 'deprivation', 'unemployment']"
9,4,1,editorial,Editorials,491,493,,,06 Sep 2007,[]
9,4,2,Article,Original Articles,495,526,,,06 Sep 2007,"['homogamy', 'stratification', 'social barriers', 'international patterns', 'marrying up']"
9,4,3,Article,Original Articles,527,550,,,06 Sep 2007,"['social inequality', 'educational attainment', 'social class', 'Denmark', 'family background', 'mixed logit model']"
9,4,4,Article,Original Articles,551,572,,,06 Sep 2007,"['higher education participation', 'pan-European', 'labour market success', 'students in higher education', 'transition from school to work']"
9,4,5,Article,Original Articles,573,599,,,06 Sep 2007,"['European knowledge economy', 'Turkish youth', 'political identities', 'social class', 'school dynamics', 'comparative research']"
9,4,6,Article,Original Articles,601,622,,,06 Sep 2007,"['citizenship', 'youth', 'social representations']"
9,4,7,Article,Original Articles,623,642,,,06 Sep 2007,"['trust', 'money', 'euro', 'European Central bank', 'identity', 'mimesis']"
9,4,8,Article,Original Articles,643,669,,,06 Sep 2007,"['euro-scepticism', 'ethnic competition', 'multilevel analysis', 'regions']"
9,4,9,book review,Book Reviews,671,678,,,06 Sep 2007,[]
9,5,1,Article,Original Articles,681,684,,,07 Dec 2007,[]
9,5,2,Article,Original Articles,685,704,,,07 Dec 2007,"['public sphere', 'pan-European transnational channels', 'European identity and citizenship', 'European political communication', 'European integration', 'communication rights', 'depoliticization']"
9,5,3,Article,Original Articles,705,718,,,07 Dec 2007,"['European public sphere', 'risk communication', 'environmental issues']"
