author_number,author_info
2,"[(' Richard Layte ', '', 'https://www.tandfonline.com/author/Layte%2C+Richard'), (' Christopher T. Whelan ', '', 'https://www.tandfonline.com/author/Whelan%2C+Christopher+T')]"
3,"[(' Christel Lane ', '', 'https://www.tandfonline.com/author/Lane%2C+Christel'), (' Margaret Potton ', '', 'https://www.tandfonline.com/author/Potton%2C+Margaret'), (' Wolfgang Littek ', '', 'https://www.tandfonline.com/author/Littek%2C+Wolfgang')]"
1,"[(' Yasemin Nuhoğlu Soysal ', '', 'https://www.tandfonline.com/author/Soysal%2C+Yasemin+Nuho%C4%9Flu')]"
1,"[(' Michaela Brockmann ', '', 'https://www.tandfonline.com/author/Brockmann%2C+Michaela')]"
2,"[(' Mia Väisänen ', '', 'https://www.tandfonline.com/author/V%C3%A4is%C3%A4nen%2C+Mia'), (' Jouko Nätti ', '', 'https://www.tandfonline.com/author/N%C3%A4tti%2C+Jouko')]"
1,"[(' Jane Lewis ', '', 'https://www.tandfonline.com/author/Lewis%2C+Jane')]"
1,"[(' Anne Gray ', '', 'https://www.tandfonline.com/author/Gray%2C+Anne')]"
2,"[(' Eileen Evason ', '', 'https://www.tandfonline.com/author/Evason%2C+Eileen'), (' Lynda Spence ', '', 'https://www.tandfonline.com/author/Spence%2C+Lynda')]"
2,"[(' Matthias Knuth ', '', 'https://www.tandfonline.com/author/Knuth%2C+Matthias'), (' Thorsten Kalina ', '', 'https://www.tandfonline.com/author/Kalina%2C+Thorsten')]"
0,[]
3,"[(' Duncan Gallie ', ' University of Oxford and Nuffield College , Oxford', 'https://www.tandfonline.com/author/Gallie%2C+Duncan'), (' Serge Paugam ', ' Ecole des Hautes Etudes en Sciences Sociales , Paris ', 'https://www.tandfonline.com/author/Paugam%2C+Serge'), (' Sheila Jacobs ', ' Nuffield College , Oxford', 'https://www.tandfonline.com/author/Jacobs%2C+Sheila')]"
0,[]
1,"[(' Anders Nordlund ', ' LuleÅ University of Technology , Hedenbrovägen, Sweden ', 'https://www.tandfonline.com/author/Nordlund%2C+Anders')]"
2,"[(' Jan Delhey ', ' Department of Social Structure and Social Reporting , Social Science Research Centre , Berlin, WZB, Germany ', 'https://www.tandfonline.com/author/Delhey%2C+Jan'), (' Kenneth Newton ', ' Department of Political Science , University of Southampton , UK ', 'https://www.tandfonline.com/author/Newton%2C+Kenneth')]"
3,"[(' Paul Nieuwbeerta ', ' Netherlands Institute for the Study of Crime and Law Enforcement ', 'https://www.tandfonline.com/author/Nieuwbeerta%2C+Paul'), (' Gerrit De Geest ', ' Utrecht School of Economics , Utrecht University ', 'https://www.tandfonline.com/author/de+Geest%2C+Gerrit'), (' Jacques Siegers ', '', 'https://www.tandfonline.com/author/Siegers%2C+Jacques')]"
2,"[(' Richard Layte ', ' Economic and Social Research Institute , Dublin', 'https://www.tandfonline.com/author/Layte%2C+Richard'), (' Christopher Whelan ', '', 'https://www.tandfonline.com/author/Whelan%2C+Christopher')]"
1,"[(' Martin Groß ', ' Humboldt-University , Berlin', 'https://www.tandfonline.com/author/Gro%C3%9F%2C+Martin')]"
0,[]
2,"[(' Bo Petersson ', '', 'https://www.tandfonline.com/author/Petersson%2C+Bo'), (' Anders Hellström ', '', 'https://www.tandfonline.com/author/Hellstr%C3%B6m%2C+Anders')]"
1,"[(' Frédéric Mérand ', '', 'https://www.tandfonline.com/author/M%C3%A9rand%2C+Fr%C3%A9d%C3%A9ric')]"
1,"[(' Barbara Thériault ', '', 'https://www.tandfonline.com/author/Th%C3%A9riault%2C+Barbara')]"
2,"[(' Orna Cohen ', '', 'https://www.tandfonline.com/author/Cohen%2C+Orna'), (' Rivka Savaya ', '', 'https://www.tandfonline.com/author/Savaya%2C+Rivka')]"
0,[]
2,"[(' Rudolf Richter ', '', 'https://www.tandfonline.com/author/Richter%2C+Rudolf'), (' John Eriksen ', '', 'https://www.tandfonline.com/author/Eriksen%2C+John')]"
1,"[(' Sigrid Leitner ', '', 'https://www.tandfonline.com/author/Leitner%2C+Sigrid')]"
1,"[(' Clare Ungerson ', '', 'https://www.tandfonline.com/author/Ungerson%2C+Clare')]"
1,"[(' Thérèse Jacobs ', '', 'https://www.tandfonline.com/author/Jacobs%2C+Th%C3%A9r%C3%A8se')]"
1,"[(' Anne Lise Ellingsæter ', '', 'https://www.tandfonline.com/author/Ellings%C3%A6ter%2C+Anne+Lise')]"
1,"[(' John Eriksen ', '', 'https://www.tandfonline.com/author/Eriksen%2C+John')]"
1,"[(' Claire Wallace ', '', 'https://www.tandfonline.com/author/Wallace%2C+Claire')]"
2,"[(' Tony Fahey ', ' The Economic and Social Research Institute, 4 Burlington Road, Dublin 4, Ireland', 'https://www.tandfonline.com/author/Fahey%2C+Tony'), (' Emer Smyth ', ' The Economic and Social Research Institute, 4 Burlington Road, Dublin 4, Ireland', 'https://www.tandfonline.com/author/Smyth%2C+Emer')]"
1,"[(' Peter Taylor-Gooby ', ' School of Social Policy, Sociology and Social Research, University of Kent, Canterbury CT2 7NY, UK', 'https://www.tandfonline.com/author/Taylor-Gooby%2C+Peter')]"
2,"[(' Marcel Erlinghagen ', ' Institut Arbeit und Technik, Munscheidstraße 14, D-45886 Gelsenkirchen, Germany', 'https://www.tandfonline.com/author/Erlinghagen%2C+Marcel'), (' Matthias Knuth ', ' Institut Arbeit und Technik, Munscheidstraße 14, D-45886 Gelsenkirchen, Germany', 'https://www.tandfonline.com/author/Knuth%2C+Matthias')]"
3,"[(' Volker Bornschier ', ' Sociological Institute, University of Zurich, Zurich, Switzerland', 'https://www.tandfonline.com/author/Bornschier%2C+Volker'), (' Mark Herkenrath ', ' Sociological Institute, University of Zurich, Zurich, Switzerland', 'https://www.tandfonline.com/author/Herkenrath%2C+Mark'), (' Patrick Ziltener ', ' Sociological Institute, University of Zurich, Zurich, Switzerland', 'https://www.tandfonline.com/author/Ziltener%2C+Patrick')]"
2,"[(' Ingrid Oswald ', ' Gothaer Str. 5a, D-10823 Berlin, Germany', 'https://www.tandfonline.com/author/Oswald%2C+Ingrid'), (' Viktor Voronkov ', ' Centre for Independent Social Research (CISR), P.O. Box 193, 191040 St. Petersburg, Russia', 'https://www.tandfonline.com/author/Voronkov%2C+Viktor')]"
1,"[(' Claire Wallace ', '', 'https://www.tandfonline.com/author/Wallace%2C+Claire')]"
2,"[(' Mike Keen ', ' Department of Sociology and Anthropology, Indiana University South Bend, 1700 Mishawaka Avenue, South Bend, IN 46634, USA', 'https://www.tandfonline.com/author/Keen%2C+Mike'), (' Janusz Mucha ', ' Institute of Sociology, Nicolaus Copernicus University, ul. Fosa Staromiejska 1A, 87-100 Torun, Poland', 'https://www.tandfonline.com/author/Mucha%2C+Janusz')]"
1,"[(' György Lengyel ', ' Budapest University of Economic Sciences and Public Administration, Fövám tér 8, H-1093 Budapest, Hungary', 'https://www.tandfonline.com/author/Lengyel%2C+Gy%C3%B6rgy')]"
1,"[(' Mirjana Ule ', ' Faculty of Social Sciences, University of Ljubljana, Kardeljeva Ploscad 5, 1000 Ljubljana, Slovenia', 'https://www.tandfonline.com/author/Ule%2C+Mirjana')]"
1,"[(' Ladislav Macháček ', ' Institute of Sociology, Slovak Academy of Sciences, Bratislava, Slovakia', 'https://www.tandfonline.com/author/Mach%C3%A1%C4%8Dek%2C+Ladislav')]"
1,"[(' Jiřina Šmejkalová ', ' Faculty of Media and Humanities, University of Lincoln, Lincoln, UK', 'https://www.tandfonline.com/author/%C5%A0mejkalov%C3%A1%2C+Ji%C5%99ina')]"
1,"[(' Pavle Sicherl ', ' SICENTER and University of Ljubljana, Slovenia', 'https://www.tandfonline.com/author/Sicherl%2C+Pavle')]"
2,"[(' Jaap Dronkers ', ' European University Institute, San Domenico di Fiesole (FI), Italy', 'https://www.tandfonline.com/author/Dronkers%2C+Jaap'), (' Péter Róbert ', ' ELTE University and Tárki, Budapest, Hungary', 'https://www.tandfonline.com/author/R%C3%B3bert%2C+P%C3%A9ter')]"
2,"[(' David Dunkerley ', ' School of Humanities &amp; Social Sciences, University of Glamorgan, Pontypridd, South Wales, UK', 'https://www.tandfonline.com/author/Dunkerley%2C+David'), (' Shane Fudge ', ' School of Humanities &amp; Social Sciences, University of Glamorgan, Pontypridd, South Wales, UK', 'https://www.tandfonline.com/author/Fudge%2C+Shane')]"
0,[]
1,"[(' Claire Wallace ', '<div class=""author-extra-info"" data-authorsinfo=\'{""id"" : ""author-comment"", ""hasFull"" : ""true""}\' tabindex=""0"">View further author information', 'https://www.tandfonline.com/author/Wallace%2C+Claire')]"
1,"[(' Dr. Michael Jonas ', '<div class=""author-extra-info"" data-authorsinfo=\'{""id"" : ""author-comment"", ""hasFull"" : ""true""}\' tabindex=""0"">View further author information', 'https://www.tandfonline.com/author/Jonas%2C+Dr+Michael')]"
0,[]
0,[]
0,[]
0,[]
1,"[(' Alex Dumas ', '', 'https://www.tandfonline.com/author/Dumas%2C+Alex')]"
0,[]
1,"[(' Mary Daly ', "" School of Sociology and Social Policy , Queen's University , Belfast, BT7 1NN, UK "", 'https://www.tandfonline.com/author/Daly%2C+Mary')]"
1,"[(' Linda Hantrais ', ' Department of Politics, International Relations and European Studies , Loughborough University , Leicestershire, LE11 3TU, UK ', 'https://www.tandfonline.com/author/Hantrais%2C+Linda')]"
2,"[(' Christopher T. Whelan ', ' Economic and Social Research Institute , Dublin, Ireland ', 'https://www.tandfonline.com/author/Whelan%2C+Christopher+T'), (' Bertrand Maître ', ' Economic and Social Research Institute , Dublin, Ireland ', 'https://www.tandfonline.com/author/Ma%C3%AEtre%2C+Bertrand')]"
1,"[(' Dr Emer Smyth ', ' The Economic and Social Research Institute , 4 Burlington Road, Dublin 4, Ireland ', 'https://www.tandfonline.com/author/Smyth%2C+Emer')]"
0,[]
0,[]
1,"[(' Ellu Saar ', ' Institute for International and Social Studies , Tallinn University , Estonia blvd. 7, Tallinn, 10143, Estonia ', 'https://www.tandfonline.com/author/Saar%2C+Ellu')]"
1,"[(' Clare Holdsworth ', ' Department of Geography , University of Liverpool , UK ', 'https://www.tandfonline.com/author/Holdsworth%2C+Clare')]"
1,"[(' Luigi Pellizzoni ', ' Department of Human Sciences , University of Trieste , Piazza Europa 1, 34127, Trieste, Italy ', 'https://www.tandfonline.com/author/Pellizzoni%2C+Luigi')]"
0,[]
0,[]
1,"[(' James Wickham ', ' Employment Research Centre, Department of Sociology , Trinity College Dublin , Dublin, 2, Ireland ', 'https://www.tandfonline.com/author/Wickham%2C+James')]"
2,"[(' Juha Kääriäinen PhD ', ' The Police College of Finland , PL 13, 02151, Espoo, Finland ', 'https://www.tandfonline.com/author/K%C3%A4%C3%A4ri%C3%A4inen%2C+Juha'), (' Heikki Lehtonen ', ' Department of Social Policy and Social Work , University of Tampere , FIN-33014 University of Tampere, Finland ', 'https://www.tandfonline.com/author/Lehtonen%2C+Heikki')]"
1,"[(' Pekka Räsänen ', ' Department of Sociology , University of Turku , Assistentinkatu 7, 20014, Finland ', 'https://www.tandfonline.com/author/R%C3%A4s%C3%A4nen%2C+Pekka')]"
3,"[(' Mikael Nordenmark ', ' University of Umea , Sweden ', 'https://www.tandfonline.com/author/Nordenmark%2C+Mikael'), (' Mattias Strandh ', ' University of Umea , Sweden ', 'https://www.tandfonline.com/author/Strandh%2C+Mattias'), (' Richard Layte ', ' Economic and Social Research Institute , Ireland ', 'https://www.tandfonline.com/author/Layte%2C+Richard')]"
1,"[(' Dr Markus Hadler ', ' Universitaets Str. 15 G4, 8010, Graz, Austria ', 'https://www.tandfonline.com/author/Hadler%2C+Markus')]"
2,"[(' Dr Roland Verwiebe ', ' University Hamburg, Institute of Sociology, Social Science Research Methods , Allende-Platz 1, 20146, Hamburg, Germany ', 'https://www.tandfonline.com/author/Verwiebe%2C+Roland'), (' Klaus Eder ', ' Department of Social Sciences, Comparative Structural Analysis , Humboldt-University Berlin , Unter den Linden 6, 10099, Berlin, Germany ', 'https://www.tandfonline.com/author/Eder%2C+Klaus')]"
1,"[(' Dr Marion Jones ', ' Edge Hill College of Higher Education The Woodlands Centre , Southport Road, Chorley, Lancashire, PR71 QR, UK ', 'https://www.tandfonline.com/author/Jones%2C+Marion')]"
0,[]
2,"[(' Eckart Hildebrandt ', '', 'https://www.tandfonline.com/author/Hildebrandt%2C+Eckart'), (' Beate Littig ', '', 'https://www.tandfonline.com/author/Littig%2C+Beate')]"
1,"[(' John MacInnes ', "" Centre d'Estudis Demogràfics, Edifici E-2 , Universitat Autònoma de Barcelona , 08193, Bellaterra (Barcelona), Spain "", 'https://www.tandfonline.com/author/MacInnes%2C+John')]"
1,"[(' Eckart Hildebrandt ', ' Social Science Research Center Berlin (WZB), Labor Market Policy and Employment , Reichpietschufer 50, D-10785, Berlin, Germany ', 'https://www.tandfonline.com/author/Hildebrandt%2C+Eckart')]"
1,"[(' Anna M. Ponzellini ', ' University of Bergamo, Italy, srl Etica ed Economia dei Servizi , Via Nirone 19, 20123, Milano, Italy ', 'https://www.tandfonline.com/author/Ponzellini%2C+Anna+M')]"
2,"[(' Andrea Leitner ', ' Department of Sociology , Institute for Advanced Studies , Stumpergasse 56, A-1060, Vienna, Austria ', 'https://www.tandfonline.com/author/Leitner%2C+Andrea'), (' Angela Wroblewski ', ' Department of Sociology , Institute for Advanced Studies , Stumpergasse 56, A-1060, Vienna, Austria ', 'https://www.tandfonline.com/author/Wroblewski%2C+Angela')]"
2,"[(' Dominique Anxo ', ' Department of Economics and Statistics , Växjö University , SE-351 95, Växjö, Sweden ', 'https://www.tandfonline.com/author/Anxo%2C+Dominique'), (' Jean-Yves Boulin ', ' Sociologue CNRS , IRIS-Université Paris Dauphine , 75 775, Paris Cedex 16, France ', 'https://www.tandfonline.com/author/Boulin%2C+Jean-Yves')]"
0,[]
0,[]
1,"[(' Jens Lundsgaard ', ' OECD Economics Department, 2, rue André-Pascal, 75775 Paris Cedex 16 , France ', 'https://www.tandfonline.com/author/Lundsgaard%2C+Jens')]"
1,"[(' Monique Kremer ', ' Rodenrijselaan 28a, 3037, XE, Rotterdam, The Netherlands ', 'https://www.tandfonline.com/author/Kremer%2C+Monique')]"
1,"[(' Mia Vabø ', ' NOVA – Norwegian Social Research , Munthesgt 29, Pa 3223 Elisenberg, 0208, Oslo, Norway ', 'https://www.tandfonline.com/author/Vab%C3%B8%2C+Mia')]"
1,"[(' John Clarke ', ' Faculty of Social Sciences, The Open University , Walton Hall, Milton Keynes, MK, 7 6AA, UK ', 'https://www.tandfonline.com/author/Clarke%2C+John')]"
1,"[(' Tine Rostgaard ', ' Danish National Institute of Social Research , Herluf Trolles Gade 11, 1052, Copenhagen K, Denmark ', 'https://www.tandfonline.com/author/Rostgaard%2C+Tine')]"
0,[]
0,[]
