number_volume,number_issue,number_article,type_1,type_2,name_book,keyword,author_number,author_info,page_start,page_end,page_number,date_receive,date_accept,date_online,views,Crossref,Web_of_Science
1,2,4,Article,Original Articles,Gender politics in the European Union,"['public opinion', 'gender gap', 'equality policy', 'governance', 'European Union']",1,"[('Ulrike Liebert', ' University of Bremen', 'https://www.tandfonline.com/author/Liebert%2C+Ulrike')]",197,239,43,,,21 Oct 2013,217,16,0
1,2,5,Article,Original Articles,Political trust and attitudes towards redistribution,"['attitudes', 'political trust', 'welfare state', 'redistribution', 'Sweden', 'Norway', 'comparative research']",1,"[('Stefan Svallfors', ' Umeå University', 'https://www.tandfonline.com/author/Svallfors%2C+Stefan')]",241,268,28,,,21 Oct 2013,475,25,3
1,2,6,,Review Article,"Identity politics, globalization and the national state",[],1,"[('Don Kalb', ' Utrecht University, Institute for Human Sciences/IWM, Vienna', 'https://www.tandfonline.com/author/Kalb%2C+Don')]",269,287,19,,,21 Oct 2013,116,0,0
1,2,7,book review,Book Reviews,Book Reviews,[],13,"[('Richard Breen', ' Department of Political and Social Sciences, European University Institute, Florence.', 'https://www.tandfonline.com/author/Breen%2C+Richard'), ('Joe Bailey', ' Kingston University, UK.', 'https://www.tandfonline.com/author/Bailey%2C+Joe'), ('Geoff Payne', ' University of Plymouth, UK.', 'https://www.tandfonline.com/author/Payne%2C+Geoff'), ('Jacques Coenen-Huther', ' University of Geneva, Department of Sociology.', 'https://www.tandfonline.com/author/Coenen-Huther%2C+Jacques'), ('Olaf Struck', ' University of Bremen, Germany.', 'https://www.tandfonline.com/author/Struck%2C+Olaf'), ('Bo Rothstein', ' Department of Political Science, Göteborg University.', 'https://www.tandfonline.com/author/Rothstein%2C+Bo'), ('Klaus Rasborg', ' Department of Social Science and Economics Roskilde University, Denmark.', 'https://www.tandfonline.com/author/Rasborg%2C+Klaus'), ('John Scott', ' University of Essex, UK.', 'https://www.tandfonline.com/author/Scott%2C+John'), ('Richard Jenkins', ' University of Sheffield, UK.', 'https://www.tandfonline.com/author/Jenkins%2C+Richard'), ('Luis Moreno', ' European University Institute, Italy.', 'https://www.tandfonline.com/author/Moreno%2C+Luis'), ('Celia Valiente', ' Universidad Carlos III de Madrid, Spain', 'https://www.tandfonline.com/author/Valiente%2C+Celia'), ('Jacques Coenen-Huther', ' Department of Sociology, University of Geneva.', 'https://www.tandfonline.com/author/Coenen-Huther%2C+Jacques'), ('Göran Ahrne', ' Department of Sociology, Stockholm University.', 'https://www.tandfonline.com/author/Ahrne%2C+G%C3%B6ran')]",289,318,30,,,21 Oct 2013,19,0,0
1,3,1,Article,Original Articles,How penal common sense comes to europeans,"['neoliberalism', 'dominant ideology', 'urban violence', 'criminalization of poverty', 'welfare state', 'law and order', 'prison', 'penal policy', 'think-tanks']",1,"[('Loïc Wacquant', ' Centre de sociologie européenne du Collège de France University of California-Berkeley', 'https://www.tandfonline.com/author/Wacquant%2C+Lo%C3%AFc')]",319,352,34,,,21 Oct 2013,620,68,0
1,3,2,Article,Original Articles,‘Death is not the same always and everywhere’ – sociocultural aspects of brain death and the legislation of organ transplantation,"['death and dying', 'brain death', 'organ transplantation act', 'reflexive modernisation', 'cultural change', 'Germany', 'comparison of cultures']",1,"[('Werner Schneider', ' Institute of Sociology, Ludwig Maximilians University, Munich', 'https://www.tandfonline.com/author/Schneider%2C+Werner')]",353,389,37,,,21 Oct 2013,49,0,1
1,3,3,Article,Original Articles,Economic standard of living,"['economic resources', 'income distribution', 'poverty', 'living conditions', 'living standard', 'structural equation modeling']",1,"[('Björn Halleröd', ' Department of Sociology, Umeå University, Sweden', 'https://www.tandfonline.com/author/Haller%C3%B6d%2C+Bj%C3%B6rn')]",391,418,28,,,21 Oct 2013,23,5,0
1,3,4,Article,Original Articles,Managing money in British and Swedish households,"['money', 'marriage', 'gender', 'power', 'ideology', 'discourse', 'household breadwinning']",2,"[('Christine Roman', ' Uppsala University, Sweden, and City University, London, UK', 'https://www.tandfonline.com/author/Roman%2C+Christine'), ('Carolyn Vogler', ' Uppsala University, Sweden, and City University, London, UK', 'https://www.tandfonline.com/author/Vogler%2C+Carolyn')]",419,456,38,,,21 Oct 2013,105,19,0
1,3,5,book review,Book Reviews,Book Reviews,[],12,"[('John Scott', ' University of Essex, UK, and University of Bergen, Norway.', 'https://www.tandfonline.com/author/Scott%2C+John'), ('Norman Ginsburg', ' School of Social Sciences, University of North London, UK.', 'https://www.tandfonline.com/author/Ginsburg%2C+Norman'), ('Verena Georgi', ' Sociological Institute, University of Leipzig, Germany.', 'https://www.tandfonline.com/author/Georgi%2C+Verena'), ('Olli Kangas', ' Department of Social Policy, University of Turku, Finland.', 'https://www.tandfonline.com/author/Kangas%2C+Olli'), ('C.G.A. Bryant', ' University of Salford, UK.', 'https://www.tandfonline.com/author/Bryant%2C+CGA'), ('Jacques Coenen-Huther', ' Department of Sociology, University of Geneva, Switzerland.', 'https://www.tandfonline.com/author/Coenen-Huther%2C+Jacques'), ('Stefan Immerfall', ' Universität Passau, Austria', 'https://www.tandfonline.com/author/Immerfall%2C+Stefan'), ('Ricard Gomà', ' (ricard.goma@uab.es), Universitat Autònoma de Barcelona, Spain.', 'https://www.tandfonline.com/author/Gom%C3%A0%2C+Ricard'), ('Klaus Rasborg', ' Department of Social Sciences and Economics, Roskilde University, Denmark.', 'https://www.tandfonline.com/author/Rasborg%2C+Klaus'), ('Jacques Coenen-Huther', ' Department of Sociology, University of Geneva, Switzerland.', 'https://www.tandfonline.com/author/Coenen-Huther%2C+Jacques'), ('Wolfgang Ludwig-Mayerhofer', ' Department of Sociology, Munich University, Germany.', 'https://www.tandfonline.com/author/Ludwig-Mayerhofer%2C+Wolfgang'), ('Daniel Woodley', ' University of Essex, UK.', 'https://www.tandfonline.com/author/Woodley%2C+Daniel')]",457,496,40,,,21 Oct 2013,13,0,0
1,3,6,,Index,Index to Volume 1,[],0,[],497,499,3,,,21 Oct 2013,5,0,0
2,1,1,Article,Original Articles,"BLAME OR FATE, INDIVIDUAL OR SOCIAL?","['Poverty', 'Values', 'Public Opinion', 'Welfare State', 'Welfare Regime']",2,"[(' Wim Van Oorschot ', '', 'https://www.tandfonline.com/author/Oorschot%2C+Wim+van'), (' Loek Halman ', '', 'https://www.tandfonline.com/author/Halman%2C+Loek')]",1,28,28,,,02 Dec 2010,609,63,0
2,1,2,editorial,Editorials,EDITORIAL,[],1,"[(' Thomas P. Boje ', '', 'https://www.tandfonline.com/author/Boje%2C+Thomas+P')]",5,6,2,,,02 Dec 2010,11,0,0
2,1,3,Article,Original Articles,VOCATIONAL SECONDARY EDUCATION,"['Education', 'Vocational Education', 'Qualifications', 'Labor Markets', 'Unemployment', 'Comparative Research']",2,"[(' Yossi Shavit ', '', 'https://www.tandfonline.com/author/Shavit%2C+Yossi'), (' Walter Muller ', '', 'https://www.tandfonline.com/author/Muller%2C+Walter')]",29,50,22,,,02 Dec 2010,"2,194",167,3
2,1,4,Article,Original Articles,"DRUG POLICIES, PRICES, AND WEALTH","['Prices', 'Prohibition', 'Wealth']",1,"[(' Norman Braun ', '', 'https://www.tandfonline.com/author/Braun%2C+Norman')]",51,64,14,,,02 Dec 2010,61,0,0
2,1,5,Article,Original Articles,"NETWORKS, IDENTITY, AND (IN)ACTION","['Collective Action', 'Social Networks', 'Post-SOCIALISM', 'Russia', 'Comparative Research', 'Professions']",2,"[(' Risto Alapuro ', '', 'https://www.tandfonline.com/author/Alapuro%2C+Risto'), (' Markku Lonkila ', '', 'https://www.tandfonline.com/author/Lonkila%2C+Markku')]",65,90,26,,,02 Dec 2010,59,6,0
2,1,6,book review,Book Reviews,BOOK REVIEWS,[],0,[],91,108,18,,,02 Dec 2010,17,0,0
2,2,1,Article,Original Articles,THE BATTLEGROUNDS OF EUROPEAN IDENTITY,"['Europe', 'Identity']",1,"[(' Martin Kohli ', ' Free University of Berlin ', 'https://www.tandfonline.com/author/Kohli%2C+Martin')]",113,137,25,,,02 Dec 2010,"3,231",110,0
2,2,2,Article,Original Articles,"'EUROPEAN CITIZENSHIP', OR WHERE NEOLIBERALISM MEETS ETHNO-CULTURALISM","['European Union', 'Citizenship', 'Identity', 'Neoliberalism', 'Ethnoculturalism', 'Exclusion', 'Immigration']",1,"[(' Peo Hansen ', ' Umea University ', 'https://www.tandfonline.com/author/Hansen%2C+Peo')]",139,165,27,,,02 Dec 2010,372,16,0
2,2,3,Article,Original Articles,BEYOND UNBELIEF,"['Church Attendance', 'Cross-NATIONAL Comparison', 'Religion', 'Secularization', 'Self-ASCRIBED Religiosity']",1,"[(' Heiner Meulemann ', ' University of Cologne ', 'https://www.tandfonline.com/author/Meulemann%2C+Heiner')]",167,194,28,,,02 Dec 2010,53,5,0
2,2,4,Article,Original Articles,PROTECTING THE LONG-TERM UNEMPLOYED,"['Unemployment', 'Southern Europe', 'Active And Passive Labour Market Policies']",2,"[(' Rodolfo Gutierrez ', ' Universidad de Oviedo ', 'https://www.tandfonline.com/author/Gutierrez%2C+Rodolfo'), (' Ana M. Guillen ', '', 'https://www.tandfonline.com/author/Guillen%2C+Ana+M')]",195,216,22,,,02 Dec 2010,36,5,0
2,2,5,book review,Book Reviews,BOOK REVIEWS,[],0,[],217,238,22,,,02 Dec 2010,11,0,0
2,3,1,Article,Original Articles,"LABOR MARKET FLEXIBILITY, SOCIAL PROTECTION AND UNEMPLOYMENT","['Labour Market', 'Unemployment', 'Social Security', 'Welfare State']",1,"[(' Heiner Ganßmann ', ' Freie Universität , Berlin', 'https://www.tandfonline.com/author/Gan%C3%9Fmann%2C+Heiner')]",243,269,27,,,02 Dec 2010,241,15,0
2,3,2,Article,Original Articles,RETURN OF THE CROWDS AND RATIONALITY OF ACTION: A history of Russian 'financial bubbles' in the mid-1990s,"['Financial Games', 'Rational Action', 'Crowd Behaviour']",1,"[(' Vadim Radaev ', ' State University - Higher School of Economics , Moscow ', 'https://www.tandfonline.com/author/Radaev%2C+Vadim')]",271,294,24,,,02 Dec 2010,59,5,13
2,3,3,Article,Original Articles,MODELS OF CROSS-NATIONAL VARIATION IN OCCUPATIONAL SEX SEGREGATION,"['Sex Segregation', 'Welfare State', 'Labour Market']",1,"[(' Magnus Nermo ', ' Swedish Institute for Social Research , Stockholm University ', 'https://www.tandfonline.com/author/Nermo%2C+Magnus')]",295,333,39,,,02 Dec 2010,163,23,0
2,3,4,Article,Original Articles,DEMOCRATIC RENEWAL AND THE HUNGARIAN MINORITY QUESTION IN SLOVAKIA,"['Slovakia', 'Minority Questions', 'Transformation', 'Populism', 'Nationalism', 'Ethnic Democracy']",2,"[(' Pieter Van Duin ', ' Leiden ', 'https://www.tandfonline.com/author/van+Duin%2C+Pieter'), (' Zuzana Poláč ková ', ' Slovak Academy of Sciences , Bratislava ', 'https://www.tandfonline.com/author/Kov%C3%A1%2C+Zuzana+Pol%C3%A1%C4%8D')]",335,360,26,,,02 Dec 2010,116,2,3
2,3,5,book review,Book Reviews,BOOK REVIEWS,[],0,[],361,389,29,,,02 Dec 2010,14,0,0
2,4,1,Article,Original Articles,CLASS CLEAVAGES IN PARTY PREFERENCES IN THE NEW DEMOCRACIES IN EASTERN EUROPE: A comparison with Western democracies,"['Social Stratification', 'Social Cleavages', 'Voting Behavior', 'Justice Attitudes', 'Eastern Europe']",2,"[(' Mérove Gijsberts ', '', 'https://www.tandfonline.com/author/Gijsberts%2C+M%C3%A9rove'), (' Paul Nieuwbeerta ', '', 'https://www.tandfonline.com/author/Nieuwbeerta%2C+Paul')]",397,430,34,,,02 Dec 2010,337,24,0
2,4,2,Article,Original Articles,PUBLIC ATTITUDES TO SOCIAL PROTECTION AND POLITICAL ECONOMY TRADITIONS IN WESTERN EUROPE,"['Public Attitudes', 'Values', 'Welfare', 'Political Economy', 'Europe']",1,"[(' Giuliano Bonoli ', '', 'https://www.tandfonline.com/author/Bonoli%2C+Giuliano')]",431,452,22,,,02 Dec 2010,388,35,6
2,4,3,Article,Original Articles,EUROPE AND THE 'AMERICANIZATION' OF BRITISH SOCIAL POLICY,"['Welfare', 'Globalization', 'Neo-LIBERALISM', 'Scotland']",1,"[(' John Holmwood ', '', 'https://www.tandfonline.com/author/Holmwood%2C+John')]",453,482,30,,,02 Dec 2010,145,8,0
2,4,4,Article,Original Articles,THE CLOSURE OF THE RUSSIAN LABOUR MARKET,"['Labour Market', 'Russia', 'Social Exclusion', 'Social Networks', 'Corruption']",1,"[(' Simon Clarke ', '', 'https://www.tandfonline.com/author/Clarke%2C+Simon')]",483,504,22,,,02 Dec 2010,64,16,0
2,4,5,Article,Original Articles,POVERTY DYNAMICS: An analysis of the 1994 and 1995 waves of the European Community Household Panel Survey,"['Poverty Dynamics', 'Echp', 'Welfare Regimes', 'Vicious Circle Processes', 'Log-LINEAR Models', 'Shift And Association Effects']",4,"[(' Christopher T. Whelan ', '', 'https://www.tandfonline.com/author/Whelan%2C+Christopher+T'), (' Richard Layte ', '', 'https://www.tandfonline.com/author/Layte%2C+Richard'), (' Bertrand Maître ', '', 'https://www.tandfonline.com/author/Ma%C3%AEtre%2C+Bertrand'), (' Brian Nolan ', '', 'https://www.tandfonline.com/author/Nolan%2C+Brian')]",505,531,27,,,02 Dec 2010,48,10,0
2,4,6,Article,Original Articles,"European integration and sociology: The difficult balance between the theoretical, empirical and critical approach",[],1,"[(' Max Haller ', '', 'https://www.tandfonline.com/author/Haller%2C+Max')]",533,548,16,,,02 Dec 2010,68,0,0
2,4,7,book review,Book Reviews,BOOK REVIEWS,[],0,[],549,562,14,,,23 Nov 2017,1,0,0
2,4,8,editorial,Editorials,EDITORS' ACKNOWLEDGEMENT,[],0,[],563,563,1,,,02 Dec 2010,6,0,0
3,1,1,Article,Original Articles,A MARKET IN VOGUE Fashion photography in Sweden,"['Economic Sociology', 'Markets', 'Status', 'Aesthetics', 'Fashion And Photography']",1,"[(' Patrik Aspers ', '', 'https://www.tandfonline.com/author/Aspers%2C+Patrik')]",1,22,22,,,07 Dec 2010,691,17,0
3,1,2,,Miscellany,FOREWORD,[],2,"[(' Richard Swedberg ', '', 'https://www.tandfonline.com/author/Swedberg%2C+Richard'), (' Jens Beckert ', '', 'https://www.tandfonline.com/author/Beckert%2C+Jens')]",5,10,6,,,07 Dec 2010,27,0,0
3,1,3,Article,Original Articles,WHAT IS 'SOCIOLOGICAL' ABOUT THE EURO?,"['Money', 'Euro', 'European Monetary Integration', 'European Union', 'European Central Bank', 'Economic Convergence']",1,"[(' Nigel Dodd ', '', 'https://www.tandfonline.com/author/Dodd%2C+Nigel')]",23,39,17,,,07 Dec 2010,191,4,0
3,1,4,Article,Original Articles,ECONOMIC SOCIOLOGY IN FRANCE,"['Economic Sociology', 'France', 'Durkheimianism', 'National Sociological Traditions']",1,"[(' Johan Heilbron ', '', 'https://www.tandfonline.com/author/Heilbron%2C+Johan')]",41,67,27,,,07 Dec 2010,153,11,0
3,1,5,Article,Original Articles,RELIABILITY AT RISK The supervision of financial models as a case study for reflexive economic sociology,"['Financial Engineering', 'Financial Supervision', 'Market Risk', 'Model Risk', 'Reflexive Economic Sociology', 'Social Randomness']",1,"[(' A. Javier Izquierdo ', '', 'https://www.tandfonline.com/author/Izquierdo%2C+A+Javier')]",69,90,22,,,07 Dec 2010,95,15,1
3,1,6,Article,Original Articles,ECONOMISTS AND THE ECONOMIC ORDER The field of economists and the field of power in France,"['Autonomy', 'Economic Beliefs', 'Field Of Power', 'Homology', 'Multiple Correspondance Analysis', 'Scientific Field', 'Scientific Capital']",1,"[(' Frédéric Lebaron ', '', 'https://www.tandfonline.com/author/Lebaron%2C+Fr%C3%A9d%C3%A9ric')]",91,110,20,,,07 Dec 2010,198,41,5
3,1,7,book review,Book Reviews,BOOK REVIEWS,[],0,[],111,130,20,,,07 Dec 2010,20,0,0
3,2,1,Article,Original Articles,MODIFICATIONS IN THE RELIGIOUS FIELD OF CENTRAL AND EASTERN EUROPE,"['Sociology Of Religion', 'Secularisation', 'Individualisation', 'Central And Eastern Europe', 'Church And Religion']",1,"[(' Detlef Pollack ', '', 'https://www.tandfonline.com/author/Pollack%2C+Detlef')]",135,165,31,,,02 Dec 2010,114,19,0
3,2,2,Article,Original Articles,"GENDER, COMPARATIVE RESEARCH AND BIOGRAPHICAL MATCHING","['Methodology', 'Comparative Research', 'Europe', 'Gender', 'Case Studies']",1,"[(' Rosemary Crompton ', '', 'https://www.tandfonline.com/author/Crompton%2C+Rosemary')]",167,190,24,,,02 Dec 2010,154,21,0
3,2,3,Article,Original Articles,FROM NEEDS TO THE MARKET: The changing inequality of household income in the Czech transition,"['Household Income', 'Income Inequality', 'Czech Republic', 'Redistribution', 'Market Adjustment']",1,"[(' Jiří Večerník ', '', 'https://www.tandfonline.com/author/Ve%C4%8Dern%C3%ADk%2C+Ji%C5%99%C3%AD')]",191,212,22,,,02 Dec 2010,33,8,0
3,2,4,Article,Original Articles,"NOVEL FOOD, NEW MARKETS AND TRUST REGIMES: Responses to the erosion of consumers' confidence in Austria, Italy and the UK","['Trust', 'Trust Regimes', 'Food Consumption', 'Gm Food', 'Consumer Movements']",2,"[(' Roberta Sassatelli ', '', 'https://www.tandfonline.com/author/Sassatelli%2C+Roberta'), (' Alan Scott ', '', 'https://www.tandfonline.com/author/Scott%2C+Alan')]",213,244,32,,,02 Dec 2010,490,70,3
3,2,5,book review,Book Reviews,BOOK REVIEWS,[],0,[],245,256,12,,,02 Dec 2010,19,0,0
3,3,1,Article,Original Articles,INSTITUTIONAL ENTREPRENEURS AND CULTURAL FRAMES - The case of the European Union's Single Market Program,"['European Integration', 'Institutional Theory', 'Political Entrepreneurs', 'Single Market Program', 'Strategic Action']",1,"[(' Neil Fligstein ', '', 'https://www.tandfonline.com/author/Fligstein%2C+Neil')]",261,287,27,,,02 Dec 2010,452,49,0
3,3,2,Article,Original Articles,THE CONSTRUCTION OF A MARKET - A frame analysis of the liberalization of the electricity market in the European Union,"['European Union', 'Policy-MAKING', 'Institutions', 'Frames', 'Framing', 'Social Movements']",1,"[(' Johan Nylander ', '', 'https://www.tandfonline.com/author/Nylander%2C+Johan')]",289,314,26,,,02 Dec 2010,189,12,0
3,3,3,Article,Original Articles,NATIONAL IDENTITIES AND EMOTION IN THE DISCOURSE OF BRITISH MANUFACTURING UNIONS IN THE 1980s AND EARLY 1990s,"['National Identities', 'Emotion', 'Discourse', 'Trade Unions', 'Gender', 'Social Defence Mechanisms', 'Unconscious', 'Sociology', 'Psychoanalysis']",1,"[(' Carolyn Vogler ', '', 'https://www.tandfonline.com/author/Vogler%2C+Carolyn')]",315,338,24,,,02 Dec 2010,40,1,0
3,3,4,Article,Original Articles,WORKING AND MOTHERING - Women's strategies in Spain,"['Family', 'Employment', 'Gender', 'Spain']",1,"[(' Constanza Tobío ', '', 'https://www.tandfonline.com/author/Tob%C3%ADo%2C+Constanza')]",339,371,33,,,02 Dec 2010,269,29,3
3,3,5,book review,Book Reviews,Book Reviews,[],0,[],373,381,9,,,02 Dec 2010,30,0,0
3,4,1,Article,Original Articles,Stratified rights and the management of migration. National distinctiveness in Europe,"['Migration', 'Asylum', 'Rights', 'European Union', 'Harmonization', 'Civic Stratification']",1,"[(' Lydia Morris ', '', 'https://www.tandfonline.com/author/Morris%2C+Lydia')]",387,411,25,,,02 Dec 2010,314,16,0
3,4,2,Article,Original Articles,"Social exclusion, children and education. Implications of a rights-based approach","['Education', 'Social Exclusion', 'Capabilities', ""Children'S Rights""]",1,"[(' Stephan Klasen ', '', 'https://www.tandfonline.com/author/Klasen%2C+Stephan')]",413,445,33,,,02 Dec 2010,923,18,0
3,4,3,Article,Original Articles,"Female employment differences, poverty and care provisions","['Social Security', 'Gender', 'Poverty', 'Employment', 'Educational Level']",4,"[(' Bea Cantillon ', '', 'https://www.tandfonline.com/author/Cantillon%2C+Bea'), (' Joris Ghysels ', '', 'https://www.tandfonline.com/author/Ghysels%2C+Joris'), (' Ninke Mussche ', '', 'https://www.tandfonline.com/author/Mussche%2C+Ninke'), (' Rudi Van Dam ', '', 'https://www.tandfonline.com/author/van+Dam%2C+Rudi')]",447,469,23,,,02 Dec 2010,237,18,3
3,4,4,Article,Original Articles,European patterns of labour market entry. A dichotomy of occupationalized vs. non-occupationalized systems?,"['School-TO-WORK Transitions', 'Labour Market Integration', 'Education And Training Systems', 'Labour Market Structure', 'Europe']",1,"[(' Markus Gangl ', '', 'https://www.tandfonline.com/author/Gangl%2C+Markus')]",471,494,24,,,02 Dec 2010,406,50,0
3,4,5,Article,Original Articles,Old-age pensions: Individual or collective responsibility? An investigation of public opinion across European welfare states,"['Old-AGE Pensions', 'Public Opinion', 'Welfare State Regimes', 'Pension Systems']",1,"[(' John Gelissen ', '', 'https://www.tandfonline.com/author/Gelissen%2C+John')]",495,523,29,,,02 Dec 2010,232,15,3
3,4,6,book review, Book Reviews,Book Reviews,[],0,[],525,538,14,,,02 Dec 2010,22,0,0
4,1,1,Article,Original Articles,Europe and European culture - a conceptual analysis,"['Europe', 'European Culture', 'European Identity', 'Civilization', 'Nation', 'European Citizenship', 'Concepts', 'Essentialism', 'Constructivism']",1,"[(' Jan Ifversen ', '', 'https://www.tandfonline.com/author/Ifversen%2C+Jan')]",1,26,26,,,02 Dec 2010,"1,597",24,0
4,1,2,Article,Original Articles,Back to labour markets - who got ahead in post-communist societies after 1989?,"['Labour Market', 'Post-COMMUNIST Transformation', 'Competencies', 'Career Mobility', 'Social Stratification', 'Life Course']",3,"[(' Martin Diewald ', '', 'https://www.tandfonline.com/author/Diewald%2C+Martin'), (' Heike Solga ', '', 'https://www.tandfonline.com/author/Solga%2C+Heike'), (' Anne Goedicke ', '', 'https://www.tandfonline.com/author/Goedicke%2C+Anne')]",27,52,26,,,02 Dec 2010,43,5,0
4,1,3,Article,Original Articles,The performance of migrants in occupational labour markets,"['Education', 'Ethnic Germans', 'Immigration', 'Labour Market', 'Vocational Training']",2,"[(' Michaela Kreyenfeld ', '', 'https://www.tandfonline.com/author/Kreyenfeld%2C+Michaela'), (' Dirk Konietzka ', '', 'https://www.tandfonline.com/author/Konietzka%2C+Dirk')]",53,78,26,,,02 Dec 2010,124,15,0
4,1,4,Article,Original Articles,"Vocational education and labour markets in deregulated, flexibly coordinated and planned societies","['Labour Market', 'Job Matching', 'Overqualification', 'Income Inequality', 'Social Stratification']",1,"[(' Marc Szydlik ', '', 'https://www.tandfonline.com/author/Szydlik%2C+Marc')]",79,105,27,,,02 Dec 2010,67,10,0
4,1,5,Article,Original Articles,Changes in status attainment in Hungary between 1910 and 1989,"['Social Mobility', 'Status Attainment', 'Social Inequality', 'Longitudinal Historical Analysis', 'Hungary']",4,"[(' Ruud Luijkx ', '', 'https://www.tandfonline.com/author/Luijkx%2C+Ruud'), (' Péter Róbert ', '', 'https://www.tandfonline.com/author/R%C3%B3bert%2C+P%C3%A9ter'), (' Paul M. De Graaf ', '', 'https://www.tandfonline.com/author/Graaf%2C+Paul+M+de'), (' Harry B.G. Ganzeboom ', '', 'https://www.tandfonline.com/author/Ganzeboom%2C+Harry+BG')]",107,140,34,,,02 Dec 2010,55,8,0
4,1,6,book review,Book Reviews,Book Reviews,[],0,[],141,156,16,,,02 Dec 2010,17,0,0
4,2,1,Article,Original Articles,"Citizenship, Social Welfare System And Social Policies In France","['Citizenship', 'Republic', 'Social Welfare', 'Fundamental Rights', 'Social Policies', 'Decentralisation', 'Bismarckian System', 'Universalism']",2,"[(' Denis Bouget ', '', 'https://www.tandfonline.com/author/Bouget%2C+Denis'), (' Gérard Brovelli ', '', 'https://www.tandfonline.com/author/Brovelli%2C+G%C3%A9rard')]",161,184,24,,,02 Dec 2010,180,2,0
