number_volume,number_issue,number_article,type,page_start,page_end,date_receive,date_accept,date_online,keyword,name_book,author_number,author_info,views,Crossref,Web_of_Science
1,3,1,Article,319,352,,,21 Oct 2013,"['neoliberalism', 'dominant ideology', 'urban violence', 'criminalization of poverty', 'welfare state', 'law and order', 'prison', 'penal policy', 'think-tanks']",How penal common sense comes to europeans,1,"[('Loïc Wacquant', ' Centre de sociologie européenne du Collège de France University of California-Berkeley', 'https://www.tandfonline.com/author/Wacquant%2C+Lo%C3%AFc')]",610,68,0
1,3,2,Article,353,389,,,21 Oct 2013,"['death and dying', 'brain death', 'organ transplantation act', 'reflexive modernisation', 'cultural change', 'Germany', 'comparison of cultures']",‘Death is not the same always and everywhere’ – sociocultural aspects of brain death and the legislation of organ transplantation,1,"[('Werner Schneider', ' Institute of Sociology, Ludwig Maximilians University, Munich', 'https://www.tandfonline.com/author/Schneider%2C+Werner')]",49,0,0
1,3,3,Article,391,418,,,21 Oct 2013,"['economic resources', 'income distribution', 'poverty', 'living conditions', 'living standard', 'structural equation modeling']",Economic standard of living,1,"[('Björn Halleröd', ' Department of Sociology, Umeå University, Sweden', 'https://www.tandfonline.com/author/Haller%C3%B6d%2C+Bj%C3%B6rn')]",23,5,0
1,3,4,Article,419,456,,,21 Oct 2013,"['money', 'marriage', 'gender', 'power', 'ideology', 'discourse', 'household breadwinning']",Managing money in British and Swedish households,2,"[('Christine Roman', ' Uppsala University, Sweden, and City University, London, UK', 'https://www.tandfonline.com/author/Roman%2C+Christine'), ('Carolyn Vogler', ' Uppsala University, Sweden, and City University, London, UK', 'https://www.tandfonline.com/author/Vogler%2C+Carolyn')]",105,19,0
1,3,5,book review,457,496,,,21 Oct 2013,[],Book Reviews,12,"[('John Scott', ' University of Essex, UK, and University of Bergen, Norway.', 'https://www.tandfonline.com/author/Scott%2C+John'), ('Norman Ginsburg', ' School of Social Sciences, University of North London, UK.', 'https://www.tandfonline.com/author/Ginsburg%2C+Norman'), ('Verena Georgi', ' Sociological Institute, University of Leipzig, Germany.', 'https://www.tandfonline.com/author/Georgi%2C+Verena'), ('Olli Kangas', ' Department of Social Policy, University of Turku, Finland.', 'https://www.tandfonline.com/author/Kangas%2C+Olli'), ('C.G.A. Bryant', ' University of Salford, UK.', 'https://www.tandfonline.com/author/Bryant%2C+CGA'), ('Jacques Coenen-Huther', ' Department of Sociology, University of Geneva, Switzerland.', 'https://www.tandfonline.com/author/Coenen-Huther%2C+Jacques'), ('Stefan Immerfall', ' Universität Passau, Austria', 'https://www.tandfonline.com/author/Immerfall%2C+Stefan'), ('Ricard Gomà', ' (ricard.goma@uab.es), Universitat Autònoma de Barcelona, Spain.', 'https://www.tandfonline.com/author/Gom%C3%A0%2C+Ricard'), ('Klaus Rasborg', ' Department of Social Sciences and Economics, Roskilde University, Denmark.', 'https://www.tandfonline.com/author/Rasborg%2C+Klaus'), ('Jacques Coenen-Huther', ' Department of Sociology, University of Geneva, Switzerland.', 'https://www.tandfonline.com/author/Coenen-Huther%2C+Jacques'), ('Wolfgang Ludwig-Mayerhofer', ' Department of Sociology, Munich University, Germany.', 'https://www.tandfonline.com/author/Ludwig-Mayerhofer%2C+Wolfgang'), ('Daniel Woodley', ' University of Essex, UK.', 'https://www.tandfonline.com/author/Woodley%2C+Daniel')]",13,0,0
2,1,1,Article,1,28,,,02 Dec 2010,"['Poverty', 'Values', 'Public Opinion', 'Welfare State', 'Welfare Regime']","BLAME OR FATE, INDIVIDUAL OR SOCIAL?",2,"[(' Wim Van Oorschot ', '', 'https://www.tandfonline.com/author/Oorschot%2C+Wim+van'), (' Loek Halman ', '', 'https://www.tandfonline.com/author/Halman%2C+Loek')]",608,63,0
2,1,2,editorial,5,6,,,02 Dec 2010,[],EDITORIAL,1,"[(' Thomas P. Boje ', '', 'https://www.tandfonline.com/author/Boje%2C+Thomas+P')]",11,0,0
2,1,3,Article,29,50,,,02 Dec 2010,"['Education', 'Vocational Education', 'Qualifications', 'Labor Markets', 'Unemployment', 'Comparative Research']",VOCATIONAL SECONDARY EDUCATION,2,"[(' Yossi Shavit ', '', 'https://www.tandfonline.com/author/Shavit%2C+Yossi'), (' Walter Muller ', '', 'https://www.tandfonline.com/author/Muller%2C+Walter')]","2,179",167,3
2,1,4,Article,51,64,,,02 Dec 2010,"['Prices', 'Prohibition', 'Wealth']","DRUG POLICIES, PRICES, AND WEALTH",1,"[(' Norman Braun ', '', 'https://www.tandfonline.com/author/Braun%2C+Norman')]",61,0,0
2,1,5,Article,65,90,,,02 Dec 2010,"['Collective Action', 'Social Networks', 'Post-SOCIALISM', 'Russia', 'Comparative Research', 'Professions']","NETWORKS, IDENTITY, AND (IN)ACTION",2,"[(' Risto Alapuro ', '', 'https://www.tandfonline.com/author/Alapuro%2C+Risto'), (' Markku Lonkila ', '', 'https://www.tandfonline.com/author/Lonkila%2C+Markku')]",59,6,0
2,1,6,book review,91,108,,,02 Dec 2010,[],BOOK REVIEWS,0,[],17,0,0
2,2,1,Article,113,137,,,02 Dec 2010,"['Europe', 'Identity']",THE BATTLEGROUNDS OF EUROPEAN IDENTITY,1,"[(' Martin Kohli ', ' Free University of Berlin ', 'https://www.tandfonline.com/author/Kohli%2C+Martin')]","3,221",111,0
2,2,2,Article,139,165,,,02 Dec 2010,"['European Union', 'Citizenship', 'Identity', 'Neoliberalism', 'Ethnoculturalism', 'Exclusion', 'Immigration']","'EUROPEAN CITIZENSHIP', OR WHERE NEOLIBERALISM MEETS ETHNO-CULTURALISM",1,"[(' Peo Hansen ', ' Umea University ', 'https://www.tandfonline.com/author/Hansen%2C+Peo')]",372,16,0
2,2,3,Article,167,194,,,02 Dec 2010,"['Church Attendance', 'Cross-NATIONAL Comparison', 'Religion', 'Secularization', 'Self-ASCRIBED Religiosity']",BEYOND UNBELIEF,1,"[(' Heiner Meulemann ', ' University of Cologne ', 'https://www.tandfonline.com/author/Meulemann%2C+Heiner')]",53,5,0
2,2,4,Article,195,216,,,02 Dec 2010,"['Unemployment', 'Southern Europe', 'Active And Passive Labour Market Policies']",PROTECTING THE LONG-TERM UNEMPLOYED,2,"[(' Rodolfo Gutierrez ', ' Universidad de Oviedo ', 'https://www.tandfonline.com/author/Gutierrez%2C+Rodolfo'), (' Ana M. Guillen ', '', 'https://www.tandfonline.com/author/Guillen%2C+Ana+M')]",36,5,0
2,2,5,book review,217,238,,,02 Dec 2010,[],BOOK REVIEWS,0,[],11,0,0
2,3,1,Article,243,269,,,02 Dec 2010,"['Labour Market', 'Unemployment', 'Social Security', 'Welfare State']","LABOR MARKET FLEXIBILITY, SOCIAL PROTECTION AND UNEMPLOYMENT",1,"[(' Heiner Ganßmann ', ' Freie Universität , Berlin', 'https://www.tandfonline.com/author/Gan%C3%9Fmann%2C+Heiner')]",239,15,0
2,3,2,Article,271,294,,,02 Dec 2010,"['Financial Games', 'Rational Action', 'Crowd Behaviour']",RETURN OF THE CROWDS AND RATIONALITY OF ACTION: A history of Russian 'financial bubbles' in the mid-1990s,1,"[(' Vadim Radaev ', ' State University - Higher School of Economics , Moscow ', 'https://www.tandfonline.com/author/Radaev%2C+Vadim')]",59,5,13
2,3,3,Article,295,333,,,02 Dec 2010,"['Sex Segregation', 'Welfare State', 'Labour Market']",MODELS OF CROSS-NATIONAL VARIATION IN OCCUPATIONAL SEX SEGREGATION,1,"[(' Magnus Nermo ', ' Swedish Institute for Social Research , Stockholm University ', 'https://www.tandfonline.com/author/Nermo%2C+Magnus')]",163,23,0
2,3,4,Article,335,360,,,02 Dec 2010,"['Slovakia', 'Minority Questions', 'Transformation', 'Populism', 'Nationalism', 'Ethnic Democracy']",DEMOCRATIC RENEWAL AND THE HUNGARIAN MINORITY QUESTION IN SLOVAKIA,2,"[(' Pieter Van Duin ', ' Leiden ', 'https://www.tandfonline.com/author/van+Duin%2C+Pieter'), (' Zuzana Poláč ková ', ' Slovak Academy of Sciences , Bratislava ', 'https://www.tandfonline.com/author/Kov%C3%A1%2C+Zuzana+Pol%C3%A1%C4%8D')]",116,2,3
2,3,5,book review,361,389,,,02 Dec 2010,[],BOOK REVIEWS,0,[],14,0,0
2,4,1,Article,397,430,,,02 Dec 2010,"['Social Stratification', 'Social Cleavages', 'Voting Behavior', 'Justice Attitudes', 'Eastern Europe']",CLASS CLEAVAGES IN PARTY PREFERENCES IN THE NEW DEMOCRACIES IN EASTERN EUROPE: A comparison with Western democracies,2,"[(' Mérove Gijsberts ', '', 'https://www.tandfonline.com/author/Gijsberts%2C+M%C3%A9rove'), (' Paul Nieuwbeerta ', '', 'https://www.tandfonline.com/author/Nieuwbeerta%2C+Paul')]",337,24,0
2,4,2,Article,431,452,,,02 Dec 2010,"['Public Attitudes', 'Values', 'Welfare', 'Political Economy', 'Europe']",PUBLIC ATTITUDES TO SOCIAL PROTECTION AND POLITICAL ECONOMY TRADITIONS IN WESTERN EUROPE,1,"[(' Giuliano Bonoli ', '', 'https://www.tandfonline.com/author/Bonoli%2C+Giuliano')]",388,35,6
2,4,3,Article,453,482,,,02 Dec 2010,"['Welfare', 'Globalization', 'Neo-LIBERALISM', 'Scotland']",EUROPE AND THE 'AMERICANIZATION' OF BRITISH SOCIAL POLICY,1,"[(' John Holmwood ', '', 'https://www.tandfonline.com/author/Holmwood%2C+John')]",145,8,0
2,4,4,Article,483,504,,,02 Dec 2010,"['Labour Market', 'Russia', 'Social Exclusion', 'Social Networks', 'Corruption']",THE CLOSURE OF THE RUSSIAN LABOUR MARKET,1,"[(' Simon Clarke ', '', 'https://www.tandfonline.com/author/Clarke%2C+Simon')]",64,16,0
2,4,5,Article,505,531,,,02 Dec 2010,"['Poverty Dynamics', 'Echp', 'Welfare Regimes', 'Vicious Circle Processes', 'Log-LINEAR Models', 'Shift And Association Effects']",POVERTY DYNAMICS: An analysis of the 1994 and 1995 waves of the European Community Household Panel Survey,4,"[(' Christopher T. Whelan ', '', 'https://www.tandfonline.com/author/Whelan%2C+Christopher+T'), (' Richard Layte ', '', 'https://www.tandfonline.com/author/Layte%2C+Richard'), (' Bertrand Maître ', '', 'https://www.tandfonline.com/author/Ma%C3%AEtre%2C+Bertrand'), (' Brian Nolan ', '', 'https://www.tandfonline.com/author/Nolan%2C+Brian')]",48,10,0
2,4,6,Article,533,548,,,02 Dec 2010,[],"European integration and sociology: The difficult balance between the theoretical, empirical and critical approach",1,"[(' Max Haller ', '', 'https://www.tandfonline.com/author/Haller%2C+Max')]",68,0,0
2,4,7,book review,549,562,,,23 Nov 2017,[],BOOK REVIEWS,0,[],1,0,0
2,4,8,editorial,563,563,,,02 Dec 2010,[],EDITORS' ACKNOWLEDGEMENT,0,[],6,0,0
3,1,1,Article,1,22,,,07 Dec 2010,"['Economic Sociology', 'Markets', 'Status', 'Aesthetics', 'Fashion And Photography']",A MARKET IN VOGUE Fashion photography in Sweden,1,"[(' Patrik Aspers ', '', 'https://www.tandfonline.com/author/Aspers%2C+Patrik')]",689,17,0
3,1,3,Article,23,39,,,07 Dec 2010,"['Money', 'Euro', 'European Monetary Integration', 'European Union', 'European Central Bank', 'Economic Convergence']",WHAT IS 'SOCIOLOGICAL' ABOUT THE EURO?,1,"[(' Nigel Dodd ', '', 'https://www.tandfonline.com/author/Dodd%2C+Nigel')]",191,4,0
3,1,4,Article,41,67,,,07 Dec 2010,"['Economic Sociology', 'France', 'Durkheimianism', 'National Sociological Traditions']",ECONOMIC SOCIOLOGY IN FRANCE,1,"[(' Johan Heilbron ', '', 'https://www.tandfonline.com/author/Heilbron%2C+Johan')]",152,11,0
3,1,5,Article,69,90,,,07 Dec 2010,"['Financial Engineering', 'Financial Supervision', 'Market Risk', 'Model Risk', 'Reflexive Economic Sociology', 'Social Randomness']",RELIABILITY AT RISK The supervision of financial models as a case study for reflexive economic sociology,1,"[(' A. Javier Izquierdo ', '', 'https://www.tandfonline.com/author/Izquierdo%2C+A+Javier')]",95,15,1
3,1,6,Article,91,110,,,07 Dec 2010,"['Autonomy', 'Economic Beliefs', 'Field Of Power', 'Homology', 'Multiple Correspondance Analysis', 'Scientific Field', 'Scientific Capital']",ECONOMISTS AND THE ECONOMIC ORDER The field of economists and the field of power in France,1,"[(' Frédéric Lebaron ', '', 'https://www.tandfonline.com/author/Lebaron%2C+Fr%C3%A9d%C3%A9ric')]",197,40,5
3,1,7,book review,111,130,,,07 Dec 2010,[],BOOK REVIEWS,0,[],20,0,0
3,2,1,Article,135,165,,,02 Dec 2010,"['Sociology Of Religion', 'Secularisation', 'Individualisation', 'Central And Eastern Europe', 'Church And Religion']",MODIFICATIONS IN THE RELIGIOUS FIELD OF CENTRAL AND EASTERN EUROPE,1,"[(' Detlef Pollack ', '', 'https://www.tandfonline.com/author/Pollack%2C+Detlef')]",114,19,0
3,2,2,Article,167,190,,,02 Dec 2010,"['Methodology', 'Comparative Research', 'Europe', 'Gender', 'Case Studies']","GENDER, COMPARATIVE RESEARCH AND BIOGRAPHICAL MATCHING",1,"[(' Rosemary Crompton ', '', 'https://www.tandfonline.com/author/Crompton%2C+Rosemary')]",153,21,0
3,2,3,Article,191,212,,,02 Dec 2010,"['Household Income', 'Income Inequality', 'Czech Republic', 'Redistribution', 'Market Adjustment']",FROM NEEDS TO THE MARKET: The changing inequality of household income in the Czech transition,1,"[(' Jiří Večerník ', '', 'https://www.tandfonline.com/author/Ve%C4%8Dern%C3%ADk%2C+Ji%C5%99%C3%AD')]",33,8,0
3,2,4,Article,213,244,,,02 Dec 2010,"['Trust', 'Trust Regimes', 'Food Consumption', 'Gm Food', 'Consumer Movements']","NOVEL FOOD, NEW MARKETS AND TRUST REGIMES: Responses to the erosion of consumers' confidence in Austria, Italy and the UK",2,"[(' Roberta Sassatelli ', '', 'https://www.tandfonline.com/author/Sassatelli%2C+Roberta'), (' Alan Scott ', '', 'https://www.tandfonline.com/author/Scott%2C+Alan')]",489,70,0
3,2,5,book review,245,256,,,02 Dec 2010,[],BOOK REVIEWS,0,[],19,0,0
3,3,1,Article,261,287,,,02 Dec 2010,"['European Integration', 'Institutional Theory', 'Political Entrepreneurs', 'Single Market Program', 'Strategic Action']",INSTITUTIONAL ENTREPRENEURS AND CULTURAL FRAMES - The case of the European Union's Single Market Program,1,"[(' Neil Fligstein ', '', 'https://www.tandfonline.com/author/Fligstein%2C+Neil')]",451,49,0
3,3,2,Article,289,314,,,02 Dec 2010,"['European Union', 'Policy-MAKING', 'Institutions', 'Frames', 'Framing', 'Social Movements']",THE CONSTRUCTION OF A MARKET - A frame analysis of the liberalization of the electricity market in the European Union,1,"[(' Johan Nylander ', '', 'https://www.tandfonline.com/author/Nylander%2C+Johan')]",189,12,0
3,3,3,Article,315,338,,,02 Dec 2010,"['National Identities', 'Emotion', 'Discourse', 'Trade Unions', 'Gender', 'Social Defence Mechanisms', 'Unconscious', 'Sociology', 'Psychoanalysis']",NATIONAL IDENTITIES AND EMOTION IN THE DISCOURSE OF BRITISH MANUFACTURING UNIONS IN THE 1980s AND EARLY 1990s,1,"[(' Carolyn Vogler ', '', 'https://www.tandfonline.com/author/Vogler%2C+Carolyn')]",40,1,0
3,3,4,Article,339,371,,,02 Dec 2010,"['Family', 'Employment', 'Gender', 'Spain']",WORKING AND MOTHERING - Women's strategies in Spain,1,"[(' Constanza Tobío ', '', 'https://www.tandfonline.com/author/Tob%C3%ADo%2C+Constanza')]",269,29,3
3,3,5,book review,373,381,,,02 Dec 2010,[],Book Reviews,0,[],30,0,0
3,4,1,Article,387,411,,,02 Dec 2010,"['Migration', 'Asylum', 'Rights', 'European Union', 'Harmonization', 'Civic Stratification']",Stratified rights and the management of migration. National distinctiveness in Europe,1,"[(' Lydia Morris ', '', 'https://www.tandfonline.com/author/Morris%2C+Lydia')]",314,16,0
3,4,2,Article,413,445,,,02 Dec 2010,"['Education', 'Social Exclusion', 'Capabilities', ""Children'S Rights""]","Social exclusion, children and education. Implications of a rights-based approach",1,"[(' Stephan Klasen ', '', 'https://www.tandfonline.com/author/Klasen%2C+Stephan')]",920,18,0
3,4,3,Article,447,469,,,02 Dec 2010,"['Social Security', 'Gender', 'Poverty', 'Employment', 'Educational Level']","Female employment differences, poverty and care provisions",4,"[(' Bea Cantillon ', '', 'https://www.tandfonline.com/author/Cantillon%2C+Bea'), (' Joris Ghysels ', '', 'https://www.tandfonline.com/author/Ghysels%2C+Joris'), (' Ninke Mussche ', '', 'https://www.tandfonline.com/author/Mussche%2C+Ninke'), (' Rudi Van Dam ', '', 'https://www.tandfonline.com/author/van+Dam%2C+Rudi')]",235,18,3
3,4,4,Article,471,494,,,02 Dec 2010,"['School-TO-WORK Transitions', 'Labour Market Integration', 'Education And Training Systems', 'Labour Market Structure', 'Europe']",European patterns of labour market entry. A dichotomy of occupationalized vs. non-occupationalized systems?,1,"[(' Markus Gangl ', '', 'https://www.tandfonline.com/author/Gangl%2C+Markus')]",405,50,0
3,4,5,Article,495,523,,,02 Dec 2010,"['Old-AGE Pensions', 'Public Opinion', 'Welfare State Regimes', 'Pension Systems']",Old-age pensions: Individual or collective responsibility? An investigation of public opinion across European welfare states,1,"[(' John Gelissen ', '', 'https://www.tandfonline.com/author/Gelissen%2C+John')]",232,15,3
3,4,6,book review,525,538,,,02 Dec 2010,[],Book Reviews,0,[],22,0,0
4,1,1,Article,1,26,,,02 Dec 2010,"['Europe', 'European Culture', 'European Identity', 'Civilization', 'Nation', 'European Citizenship', 'Concepts', 'Essentialism', 'Constructivism']",Europe and European culture - a conceptual analysis,1,"[(' Jan Ifversen ', '', 'https://www.tandfonline.com/author/Ifversen%2C+Jan')]","1,595",24,0
4,1,2,Article,27,52,,,02 Dec 2010,"['Labour Market', 'Post-COMMUNIST Transformation', 'Competencies', 'Career Mobility', 'Social Stratification', 'Life Course']",Back to labour markets - who got ahead in post-communist societies after 1989?,3,"[(' Martin Diewald ', '', 'https://www.tandfonline.com/author/Diewald%2C+Martin'), (' Heike Solga ', '', 'https://www.tandfonline.com/author/Solga%2C+Heike'), (' Anne Goedicke ', '', 'https://www.tandfonline.com/author/Goedicke%2C+Anne')]",43,5,0
4,1,3,Article,53,78,,,02 Dec 2010,"['Education', 'Ethnic Germans', 'Immigration', 'Labour Market', 'Vocational Training']",The performance of migrants in occupational labour markets,2,"[(' Michaela Kreyenfeld ', '', 'https://www.tandfonline.com/author/Kreyenfeld%2C+Michaela'), (' Dirk Konietzka ', '', 'https://www.tandfonline.com/author/Konietzka%2C+Dirk')]",123,15,0
4,1,4,Article,79,105,,,02 Dec 2010,"['Labour Market', 'Job Matching', 'Overqualification', 'Income Inequality', 'Social Stratification']","Vocational education and labour markets in deregulated, flexibly coordinated and planned societies",1,"[(' Marc Szydlik ', '', 'https://www.tandfonline.com/author/Szydlik%2C+Marc')]",67,10,0
4,1,5,Article,107,140,,,02 Dec 2010,"['Social Mobility', 'Status Attainment', 'Social Inequality', 'Longitudinal Historical Analysis', 'Hungary']",Changes in status attainment in Hungary between 1910 and 1989,4,"[(' Ruud Luijkx ', '', 'https://www.tandfonline.com/author/Luijkx%2C+Ruud'), (' Péter Róbert ', '', 'https://www.tandfonline.com/author/R%C3%B3bert%2C+P%C3%A9ter'), (' Paul M. De Graaf ', '', 'https://www.tandfonline.com/author/Graaf%2C+Paul+M+de'), (' Harry B.G. Ganzeboom ', '', 'https://www.tandfonline.com/author/Ganzeboom%2C+Harry+BG')]",55,8,0
4,1,6,book review,141,156,,,02 Dec 2010,[],Book Reviews,0,[],17,0,0
4,2,1,Article,161,184,,,02 Dec 2010,"['Citizenship', 'Republic', 'Social Welfare', 'Fundamental Rights', 'Social Policies', 'Decentralisation', 'Bismarckian System', 'Universalism']","Citizenship, Social Welfare System And Social Policies In France",2,"[(' Denis Bouget ', '', 'https://www.tandfonline.com/author/Bouget%2C+Denis'), (' Gérard Brovelli ', '', 'https://www.tandfonline.com/author/Brovelli%2C+G%C3%A9rard')]",180,2,0
4,2,2,Article,185,207,,,02 Dec 2010,"['Social Contacts', 'Individual Determinants', 'Welfare States', 'Multilevel Analyses']",Welfare States And Dimensions Of Social Capital: Cross-national Comparisons Of Social Contacts In European Countries,3,"[(' Peer Scheepers ', '', 'https://www.tandfonline.com/author/Scheepers%2C+Peer'), (' Manfred Te Grotenhuis ', '', 'https://www.tandfonline.com/author/Grotenhuis%2C+Manfred+te'), (' John Gelissen ', '', 'https://www.tandfonline.com/author/Gelissen%2C+John')]",384,59,0
4,2,3,Article,209,233,,,02 Dec 2010,"['Poverty', 'Individualisation', 'Disadvantage', 'Cumulative', 'Social Class', 'Life-COURSE']",Cumulative Disadvantage Or Individualisation? A Comparative Analysis Of Poverty Risk And Incidence,2,"[(' Richard Layte ', '', 'https://www.tandfonline.com/author/Layte%2C+Richard'), (' Christopher T. Whelan ', '', 'https://www.tandfonline.com/author/Whelan%2C+Christopher+T')]",408,27,0
4,2,4,Article,235,260,,,02 Dec 2010,"['Professions', 'Advocates/Solicitors', 'Pharmacists', 'Germany', 'Britain', 'Market Deregulation']",The Professions Between State And Market: A Cross-national Study Of Convergence And Divergence,3,"[(' Christel Lane ', '', 'https://www.tandfonline.com/author/Lane%2C+Christel'), (' Margaret Potton ', '', 'https://www.tandfonline.com/author/Potton%2C+Margaret'), (' Wolfgang Littek ', '', 'https://www.tandfonline.com/author/Littek%2C+Wolfgang')]",85,12,0
4,3,1,Article,265,284,,,02 Dec 2010,"['Europe', 'Identity', 'Public Space', 'Institutional Theory', 'Textbooks And Curricula', 'History And Civics Education']",Locating Europe,1,"[(' Yasemin Nuhoğlu Soysal ', '', 'https://www.tandfonline.com/author/Soysal%2C+Yasemin+Nuho%C4%9Flu')]",410,68,0
4,3,2,Article,285,306,,,02 Dec 2010,"['Ageing', 'Ethnicity', 'Migration', 'Quality Of Life', 'Social Policy']","Towards a Model of Quality of Life for Older Ethnic Minority Migrants in Germany, Austria and the UK",1,"[(' Michaela Brockmann ', '', 'https://www.tandfonline.com/author/Brockmann%2C+Michaela')]",154,9,3
